SURVEY:   LSST
SNID:     1168202
IAUC:     NULL
SNTYPE:   121
RA:       20.911437  # deg
DEC:      -50.962609  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0095 +- 0.0005  # MW E(B-V) 
PEAKMJD:  60184.434     # estimate for LC fit codes
MJD_TRIGGER:       60123.336  
MJD_DETECT_FIRST:  60103.434  
MJD_DETECT_LAST:   60262.023  

REDSHIFT_HELIO:   1.231570 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.230385 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  716   # template index for SIMSED,NONIa
SIM_LIBID:           15203    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.18305  
SIM_REDSHIFT_CMB:    1.18188  
SIM_REDSHIFT_HOST:   1.23157  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7878690115 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.405 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.561 -9.000 
SIM_DLMU:            44.5503   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0416   # mag 
SIM_RA:              20.911436     # deg  
SIM_DEC:             -50.962608      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0103   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60184.434    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -183.39  # days 
SIM_TRESTMAX:        221.65  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.41  30.21  28.25  26.73  26.33  26.20  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 145 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59784.3080 r WFD -1.6699e-02  1.056e-02    0  1.000 44.800  2.35 1.054e+04  99.0000 
OBS: 59786.4108 r WFD  9.8377e-03  1.883e-02    0  1.000 44.070  3.14 7.182e+03  99.0000 
OBS: 59791.4019 g WFD  1.3007e-02  5.484e-03    0  1.000 44.790  2.04 6.249e+03  99.0000 
OBS: 59791.4286 z WFD -2.7347e-02  3.652e-02    0  1.000 43.500  1.86 1.391e+04  99.0000 
OBS: 59793.2946 i WFD -8.2026e-03  1.982e-02    0  1.000 44.570  2.58 1.458e+04  99.0000 
OBS: 59798.2952 r WFD  9.7446e-03  1.292e-02    0  1.000 44.840  2.50 1.258e+04  99.0000 
OBS: 59799.2736 z WFD  3.4855e-02  2.933e-02    0  1.000 44.250  1.83 2.266e+04  99.0000 
OBS: 59800.3422 Y WFD -4.5742e-02  4.464e-02    0  1.000 43.770  1.75 2.318e+04  99.0000 
OBS: 59801.2726 z WFD  3.8122e-02  3.358e-02    0  1.000 45.020  2.56 3.769e+04  99.0000 
OBS: 59802.3965 Y WFD -1.4085e-02  6.725e-02    0  1.000 43.330  1.89 2.156e+04  99.0000 
OBS: 59803.3139 Y WFD  3.3488e-02  4.846e-02    0  1.000 43.780  1.58 2.813e+04  99.0000 
OBS: 59804.2858 z WFD  3.1015e-02  2.588e-02    0  1.000 45.030  1.68 4.468e+04  99.0000 
OBS: 59805.2943 Y WFD -2.6958e-02  5.538e-02    0  1.000 43.330  1.56 2.151e+04  99.0000 
OBS: 59807.4135 i WFD -3.2097e-02  3.284e-02    0  1.000 43.870  2.07 1.581e+04  99.0000 
OBS: 59813.2047 i WFD  3.0110e-03  1.846e-02    0  1.000 44.560  2.32 1.497e+04  99.0000 
OBS: 59818.2318 u WFD  1.6132e-02  2.527e-02    0  1.000 41.170  2.15 9.708e+02  99.0000 
OBS: 59819.1748 u WFD  7.6647e-03  2.815e-02    0  1.000 41.020  2.17 9.329e+02  99.0000 
OBS: 59821.2580 u WFD  3.2434e-02  2.120e-02    0  1.000 41.260  1.91 9.961e+02  99.0000 
OBS: 59830.1880 Y WFD  1.0695e-01  6.725e-02    0  1.000 43.310  1.86 2.151e+04  99.0000 
OBS: 59832.1689 Y WFD  4.1219e-02  6.108e-02    0  1.000 43.750  1.80 3.027e+04  99.0000 
OBS: 59837.3268 i WFD  4.4353e-02  1.489e-02    0  1.000 44.610  1.48 1.981e+04  99.0000 
OBS: 59839.2045 g WFD  1.0450e-02  6.762e-03    0  1.000 44.050  1.74 4.569e+03  99.0000 
OBS: 59840.1208 g WFD  5.6110e-03  4.347e-03    0  1.000 45.450  2.02 9.186e+03  99.0000 
OBS: 59844.1069 r WFD  1.3680e-02  1.025e-02    0  1.000 44.780  2.17 1.088e+04  99.0000 
OBS: 59850.0903 i WFD -3.3466e-02  2.069e-02    0  1.000 44.550  2.53 1.524e+04  99.0000 
OBS: 59853.1871 r WFD -3.2854e-03  9.968e-03    0  1.000 44.820  2.31 1.031e+04  99.0000 
OBS: 59862.1212 z WFD -1.7614e-02  2.876e-02    0  1.000 44.280  1.34 3.119e+04  99.0000 
