SURVEY:   LSST
SNID:     1056045
IAUC:     NULL
SNTYPE:   136
RA:       154.298303  # deg
DEC:      -29.059683  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0544 +- 0.0027  # MW E(B-V) 
PEAKMJD:  60050.191     # estimate for LC fit codes
MJD_TRIGGER:       60037.145  
MJD_DETECT_FIRST:  60036.070  
MJD_DETECT_LAST:   60130.984  

REDSHIFT_HELIO:   1.409315 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.411999 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8066935997  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4093  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          154.298436    # deg 
HOSTGAL_DEC:         -29.059513    # deg 
HOSTGAL_SNSEP:       0.361       # arcsec 
HOSTGAL_DDLR:        1.750       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.791 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.360
HOSTGAL_SQRADIUS:     9.912   # Ixx + Iyy
HOSTGAL_MAG:     27.25  27.09  26.55  25.54  24.91  24.17 # ugrizY
HOSTGAL_MAGERR:   0.58   0.16   0.12   0.06   0.07   0.07 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  745   # template index for SIMSED,NONIa
SIM_LIBID:           5044    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.40931  
SIM_REDSHIFT_CMB:    1.41200  
SIM_REDSHIFT_HOST:   1.37136  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8066935997 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.552 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.791 -9.000 
SIM_DLMU:            45.0245   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0121   # mag 
SIM_RA:              154.298309     # deg  
SIM_DEC:             -29.059683      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0508   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60050.191    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -193.59  # days 
SIM_TRESTMAX:        258.59  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.94  24.65  24.72  25.21  25.17  25.26  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 122 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2584 u WFD -1.2208e-02  1.959e-02    0  1.000 41.280  1.77 1.012e+03  99.0000 
OBS: 59588.1803 Y WFD  1.4161e-01  9.493e-02    0  1.000 42.510  1.95 1.386e+04  99.0000 
OBS: 59594.1769 Y WFD  9.5407e-02  8.398e-02    0  1.000 42.540  1.67 1.472e+04  99.0000 
OBS: 59598.3605 z WFD  8.9016e-03  6.373e-02    0  1.000 44.280  2.97 3.119e+04  99.0000 
OBS: 59607.3227 g WFD -3.7932e-03  6.119e-03    0  1.000 44.850  2.11 7.125e+03  99.0000 
OBS: 59614.2440 i WFD  3.4817e-02  1.803e-02    0  1.000 44.590  2.52 1.383e+04  99.0000 
OBS: 59628.2406 z WFD  3.7119e-02  4.240e-02    0  1.000 44.290  1.96 3.173e+04  99.0000 
OBS: 59631.2492 i WFD  2.3190e-02  1.552e-02    0  1.000 44.640  1.37 2.294e+04  99.0000 
OBS: 59652.0434 Y WFD -1.1493e-01  6.642e-02    0  1.000 44.060  2.75 2.867e+04  99.0000 
OBS: 59654.0372 Y WFD -6.0926e-02  9.588e-02    0  1.000 42.560  1.81 1.579e+04  99.0000 
OBS: 59658.0675 z WFD  2.2063e-02  4.931e-02    0  1.000 44.280  2.54 2.822e+04  99.0000 
OBS: 59668.9953 z WFD  4.8110e-02  4.130e-02    0  1.000 44.250  2.63 2.220e+04  99.0000 
OBS: 59684.0851 Y WFD -7.5374e-02  4.381e-02    0  1.000 43.360  1.22 2.237e+04  99.0000 
OBS: 59685.1504 Y WFD  2.0340e-01  7.238e-02    0  1.000 42.590  1.31 1.693e+04  99.0000 
OBS: 59710.1252 i WFD -5.9000e-02  3.559e-02    0  1.000 43.830  1.95 1.753e+04  99.0000 
OBS: 59712.0195 Y WFD -1.7247e-01  6.417e-02    0  1.000 44.090  2.37 3.303e+04  99.0000 
OBS: 59713.1084 Y WFD -9.6374e-02  9.845e-02    0  1.000 42.540  1.81 1.592e+04  99.0000 
OBS: 59769.9634 z WFD  8.7500e-02  3.671e-02    0  1.000 44.250  1.71 3.035e+04  99.0000 
OBS: 59899.3609 z WFD  9.5476e-02  8.403e-02    0  1.000 43.510  2.00 3.005e+04  99.0000 
OBS: 59903.3550 z WFD  8.2754e-02  5.138e-02    0  1.000 43.510  1.83 2.008e+04  99.0000 
OBS: 59905.3139 u WFD  3.9323e-03  3.896e-02    0  1.000 41.000  2.90 9.487e+02  99.0000 
OBS: 59916.3210 i WFD -9.0503e-04  1.260e-02    0  1.000 44.570  1.59 1.505e+04  99.0000 
OBS: 59918.3245 Y WFD  1.5541e-01  6.237e-02    0  1.000 42.570  1.43 1.312e+04  99.0000 
OBS: 59920.2760 Y WFD  3.6485e-05  1.044e-01    0  1.000 42.520  1.95 1.539e+04  99.0000 
OBS: 59923.3428 z WFD -7.5218e-03  4.849e-02    0  1.000 43.520  1.92 1.823e+04  99.0000 
OBS: 59924.3110 Y WFD -3.4118e-02  6.857e-02    0  1.000 42.580  1.45 1.436e+04  99.0000 
OBS: 59927.3442 Y WFD -5.8696e-02  9.366e-02    0  1.000 42.600  2.02 1.434e+04  99.0000 
OBS: 59932.2478 g WFD  9.7877e-04  4.553e-03    0  1.000 44.720  1.46 6.796e+03  99.0000 
OBS: 59935.2373 i WFD  7.7795e-03  8.699e-03    0  1.000 45.310  1.50 2.177e+04  99.0000 
OBS: 59938.2996 r WFD  3.4357e-03  5.875e-03    0  1.000 45.590  1.92 1.486e+04  99.0000 
OBS: 59941.2412 i WFD  8.7251e-03  1.362e-02    0  1.000 44.570  1.74 1.486e+04  99.0000 
OBS: 59945.2620 i WFD  9.6962e-03  1.195e-02    0  1.000 44.580  1.58 1.450e+04  99.0000 
OBS: 59952.2305 Y WFD  6.7796e-02  5.806e-02    0  1.000 43.320  1.58 2.206e+04  99.0000 
OBS: 59964.1468 u WFD  3.3674e-02  3.103e-02    0  1.000 41.020  2.36 9.455e+02  99.0000 
