SURVEY:   LSST
SNID:     1221737
IAUC:     NULL
SNTYPE:   126
RA:       156.299512  # deg
DEC:      -47.853441  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1728 +- 0.0086  # MW E(B-V) 
PEAKMJD:  59701.207     # estimate for LC fit codes
MJD_TRIGGER:       59684.105  
MJD_DETECT_FIRST:  59678.988  
MJD_DETECT_LAST:   59713.117  

REDSHIFT_HELIO:   1.402978 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.405180 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5941489219  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4030  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          156.299603    # deg 
HOSTGAL_DEC:         -47.853707    # deg 
HOSTGAL_SNSEP:       0.497       # arcsec 
HOSTGAL_DDLR:        2.294       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.477 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.138
HOSTGAL_SQRADIUS:     11.953   # Ixx + Iyy
HOSTGAL_MAG:     26.72  26.03  25.30  24.30  23.57  22.81 # ugrizY
HOSTGAL_MAGERR:   0.32   0.04   0.03   0.02   0.02   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  714   # template index for SIMSED,NONIa
SIM_LIBID:           17738    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.40298  
SIM_REDSHIFT_CMB:    1.40518  
SIM_REDSHIFT_HOST:   1.32476  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5941489219 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.118 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.477 -9.000 
SIM_DLMU:            45.0119   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0127   # mag 
SIM_RA:              156.299515     # deg  
SIM_DEC:             -47.853443      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1647   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59701.207    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -49.01  # days 
SIM_TRESTMAX:        404.50  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.32  31.39  30.31  29.10  27.89  26.77  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 126 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.3217 u WFD  1.9419e-02  2.280e-02    0  1.000 41.230  2.05 9.708e+02  99.0000 
OBS: 59584.2983 u WFD  9.8312e-03  2.805e-02    0  1.000 41.210  2.50 9.613e+02  99.0000 
OBS: 59590.2356 i WFD -1.3674e-02  8.430e-03    0  1.000 45.330  1.58 2.040e+04  99.0000 
OBS: 59594.1506 Y WFD  2.7726e-02  7.128e-02    0  1.000 43.250  1.88 2.134e+04  99.0000 
OBS: 59597.2156 Y WFD -2.0632e-01  1.376e-01    0  1.000 42.580  2.76 1.514e+04  99.0000 
OBS: 59599.3664 z WFD -1.0643e-01  4.720e-02    0  1.000 43.520  1.76 1.936e+04  99.0000 
OBS: 59601.2955 i WFD  1.0242e-02  2.118e-02    0  1.000 44.630  1.81 2.347e+04  99.0000 
OBS: 59615.2228 r WFD -1.0944e-02  1.044e-02    0  1.000 44.820  2.47 1.010e+04  99.0000 
OBS: 59628.3687 z WFD -8.8713e-02  5.229e-02    0  1.000 43.490  1.67 2.198e+04  99.0000 
OBS: 59631.3550 i WFD  2.8336e-03  2.411e-02    0  1.000 44.580  1.91 2.418e+04  99.0000 
OBS: 59654.0965 Y WFD -2.5075e-03  6.016e-02    0  1.000 44.090  2.54 2.890e+04  32.6992 
OBS: 59656.0292 z WFD  8.3046e-03  3.480e-02    0  1.000 45.020  2.18 4.588e+04  31.1961 
OBS: 59663.1612 g WFD  5.8937e-03  9.874e-03    0  1.000 44.840  3.18 7.558e+03  32.3622 
OBS: 59678.9900 Y WFD  1.2599e+00  6.952e-02 4096  1.000 42.550  1.54 1.333e+04  27.3036 
OBS: 59684.1049 Y WFD  1.5532e+00  4.414e-02 6144  1.000 43.330  1.25 2.139e+04  27.0232 
OBS: 59685.2180 Y WFD  1.4421e+00  8.549e-02 4096  1.000 42.520  1.42 1.730e+04  26.9700 
OBS: 59686.1302 Y WFD  1.7413e+00  7.690e-02 4096  1.000 42.580  1.47 1.588e+04  26.9283 
OBS: 59687.0865 z WFD  8.8369e-01  2.917e-02 4096  1.000 44.270  1.54 2.727e+04  27.6297 
OBS: 59712.0425 Y WFD  1.6203e+00  8.221e-02 4096  1.000 42.580  1.76 1.418e+04  26.9359 
OBS: 59713.1189 Y WFD  1.3966e+00  1.157e-01 4096  1.000 42.540  2.17 1.561e+04  26.9627 
OBS: 59769.0060 z WFD  1.4452e-01  4.789e-02    0  1.000 43.470  1.87 1.765e+04  29.9054 
OBS: 59777.9664 z WFD  1.0208e-01  6.640e-02    0  1.000 44.230  2.77 3.327e+04  30.0004 
OBS: 59778.9672 z WFD  1.7723e-01  5.113e-02    0  1.000 43.480  2.19 1.624e+04  30.0100 
OBS: 59902.3261 r WFD -1.1892e-02  9.472e-03    0  1.000 45.780  2.92 1.877e+04  33.3653 
OBS: 59905.3103 u WFD -1.2975e-02  3.697e-02    0  1.000 41.000  2.77 9.424e+02  34.9723 
OBS: 59908.3063 i WFD  2.2882e-02  1.774e-02    0  1.000 44.560  2.15 1.552e+04  32.5355 
OBS: 59913.3026 r WFD  2.3942e-02  8.553e-03    0  1.000 44.800  1.81 1.109e+04  33.4379 
OBS: 59918.3461 z WFD  2.6720e-02  1.916e-02    0  1.000 44.710  1.45 2.854e+04  31.1031 
OBS: 59928.2739 i WFD  2.2985e-02  2.217e-02    0  1.000 44.590  2.24 1.913e+04  32.6923 
OBS: 59928.3433 Y WFD  8.9121e-02  8.897e-02    0  1.000 42.580  1.96 1.378e+04  29.8357 
OBS: 59929.2575 r WFD  6.2432e-04  9.056e-03    0  1.000 45.590  2.01 2.188e+04  33.5545 
OBS: 59935.2294 i WFD  1.1885e-02  1.204e-02    0  1.000 44.550  1.46 1.537e+04  32.7400 
OBS: 59948.2562 z WFD  8.9365e-03  2.067e-02    0  1.000 45.010  1.76 3.343e+04  31.3608 
OBS: 59950.2374 Y WFD  1.7526e-01  4.784e-02    0  1.000 44.070  1.93 2.969e+04  30.0341 
OBS: 59952.2058 Y WFD  1.2262e-01  8.744e-02    0  1.000 42.540  1.67 1.532e+04  30.0508 
OBS: 59954.3482 i WFD  8.8279e-03  4.034e-02    0  1.000 43.880  2.34 1.733e+04  32.8706 
OBS: 59956.3120 i WFD  7.3359e-02  2.253e-02    0  1.000 44.630  2.09 2.163e+04  32.8835 
OBS: 59965.1867 r WFD  1.0454e-02  1.005e-02    0  1.000 44.810  2.26 1.053e+04  33.8027 
OBS: 59968.1442 u WFD -8.2841e-03  2.221e-02    0  1.000 41.790  2.45 1.325e+03  35.4099 
OBS: 59972.1552 r WFD  5.6848e-03  1.002e-02    0  1.000 44.800  2.05 1.146e+04  33.8509 
OBS: 59978.1332 Y WFD  1.1518e-01  7.388e-02    0  1.000 42.540  1.48 1.461e+04  30.2515 
OBS: 59982.3086 z WFD  2.4430e-02  2.720e-02    0  1.000 44.270  1.40 2.798e+04  31.4883 
OBS: 59985.3170 i WFD  7.8709e-03  1.443e-02    0  1.000 45.070  1.46 2.973e+04  32.9126 
OBS: 59986.3718 i WFD  4.1137e-02  3.367e-02    0  1.000 43.840  2.01 1.623e+04  32.9195 
OBS: 59987.3247 i WFD  1.4698e-02  1.968e-02    0  1.000 44.610  1.99 1.948e+04  32.9222 
