SURVEY:   LSST
SNID:     1060168
IAUC:     NULL
SNTYPE:   136
RA:       132.592591  # deg
DEC:      -59.397397  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1607 +- 0.0080  # MW E(B-V) 
PEAKMJD:  59537.055     # estimate for LC fit codes
MJD_TRIGGER:       59583.324  
MJD_DETECT_FIRST:  59581.348  
MJD_DETECT_LAST:   59669.996  

REDSHIFT_HELIO:   0.998195 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.999468 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8939791839  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9982  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          132.592570    # deg 
HOSTGAL_DEC:         -59.397401    # deg 
HOSTGAL_SNSEP:       0.031       # arcsec 
HOSTGAL_DDLR:        0.319       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.174 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.955
HOSTGAL_SQRADIUS:     2.899   # Ixx + Iyy
HOSTGAL_MAG:     28.23  27.98  27.42  26.72  26.14  26.02 # ugrizY
HOSTGAL_MAGERR:   1.50   0.58   0.31   0.17   0.19   0.36 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  740   # template index for SIMSED,NONIa
SIM_LIBID:           9169    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.99819  
SIM_REDSHIFT_CMB:    0.99946  
SIM_REDSHIFT_HOST:   1.02018  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8939791839 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.500 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.174 -9.000 
SIM_DLMU:            44.0974   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0366   # mag 
SIM_RA:              132.592590     # deg  
SIM_DEC:             -59.397396      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1684   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59537.055    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        22.15  # days 
SIM_TRESTMAX:        569.06  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.52  25.03  24.82  24.88  24.84  24.77  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 129 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59581.3493 z WFD  5.0698e+00  4.234e-02 4096  1.000 43.490  2.06 1.442e+04  25.7346 
OBS: 59583.3232 u WFD  1.7287e-01  2.560e-02 6144  1.000 41.150  2.18 9.518e+02  29.2393 
OBS: 59584.1719 u WFD  2.0627e-01  3.175e-02 4096  1.000 41.060  2.53 9.360e+02  29.3448 
OBS: 59590.1628 Y WFD  3.6223e+00  7.291e-02 4096  1.000 42.530  1.55 1.364e+04  26.1166 
OBS: 59592.3564 z WFD  2.7471e+00  2.735e-02 4096  1.000 44.240  1.71 2.240e+04  26.4002 
OBS: 59596.0712 Y WFD  3.7122e+00  9.698e-02 4096  1.000 42.500  1.71 1.599e+04  26.0735 
OBS: 59597.3526 Y WFD  3.8109e+00  1.448e-01 4096  1.000 42.540  2.71 1.563e+04  26.0569 
OBS: 59609.0840 g WFD  2.0183e-01  8.326e-03 4096  1.000 44.720  2.89 6.277e+03  29.2006 
OBS: 59620.0231 Y WFD  1.6597e+00  1.529e-01 4096  1.000 42.530  1.85 2.397e+04  26.9072 
OBS: 59634.0281 Y WFD  1.1212e+00  8.738e-02 4096  1.000 42.530  1.88 1.348e+04  27.3734 
OBS: 59650.0600 r WFD  1.1306e-01  1.953e-02    0  1.000 44.890  2.84 1.753e+04  30.0978 
OBS: 59656.0563 z WFD  5.4908e-01  4.083e-02 4096  1.000 44.270  2.11 2.787e+04  28.1426 
OBS: 59659.1343 i WFD  2.1835e-01  2.705e-02 4096  1.000 44.610  2.22 2.400e+04  29.0808 
OBS: 59669.9948 z WFD  2.3942e-01  2.419e-02 4096  1.000 45.000  2.21 3.088e+04  29.1817 
OBS: 59678.9766 Y WFD  5.5075e-02  7.134e-02    0  1.000 43.330  1.58 2.736e+04  29.3122 
OBS: 59683.9750 Y WFD  3.9402e-02  7.745e-02    0  1.000 42.590  1.33 1.785e+04  29.7594 
OBS: 59685.1314 Y WFD  2.5036e-01  5.880e-02    0  1.000 43.280  1.49 2.283e+04  29.6752 
OBS: 59687.0785 z WFD  7.7426e-02  3.314e-02    0  1.000 44.260  1.72 2.749e+04  30.0056 
OBS: 59708.9946 i WFD  4.4251e-02  1.914e-02    0  1.000 44.590  2.10 1.763e+04  30.9233 
OBS: 59709.9764 Y WFD  2.2666e-02  7.518e-02    0  1.000 42.550  1.63 1.362e+04  29.7992 
OBS: 59714.0747 Y WFD  9.8369e-02  1.349e-01    0  1.000 42.520  2.40 1.615e+04  29.9911 
OBS: 59716.9532 Y WFD  1.6942e-01  1.386e-01    0  1.000 42.580  1.86 2.263e+04  30.0790 
OBS: 59725.9626 z WFD  1.0859e-02  3.728e-02    0  1.000 44.250  2.35 2.243e+04  30.5468 
OBS: 59861.3417 Y WFD -1.2248e-01  8.799e-02    0  1.000 42.500  1.55 1.601e+04  34.4906 
OBS: 59873.3432 r WFD  4.4659e-03  6.507e-03    0  1.000 45.530  1.89 1.582e+04  33.1451 
OBS: 59877.3242 r WFD  2.1746e-02  7.155e-03    0  1.000 45.530  2.10 1.566e+04  33.1795 
OBS: 59878.3226 g WFD  1.2097e-03  3.479e-03    0  1.000 45.470  1.61 9.395e+03  35.4016 
OBS: 59884.3139 r WFD  2.1964e-03  7.942e-03    0  1.000 44.760  1.62 1.109e+04  33.2398 
OBS: 59895.3504 z WFD -8.8736e-03  2.943e-02    0  1.000 44.260  1.72 2.441e+04  33.8437 
OBS: 59898.2937 r WFD -8.6909e-03  1.173e-02    0  1.000 45.590  2.29 2.489e+04  33.3604 
OBS: 59903.2597 r WFD -1.1107e-02  1.020e-02    0  1.000 44.760  2.12 1.088e+04  33.4033 
OBS: 59908.2746 i WFD -5.2780e-03  1.243e-02    0  1.000 45.310  2.19 2.131e+04  33.2523 
OBS: 59915.3463 z WFD -2.6024e-02  3.891e-02    0  1.000 44.260  2.22 2.501e+04  34.2328 
OBS: 59916.2723 i WFD  4.1939e-03  1.106e-02    0  1.000 45.330  1.75 2.416e+04  33.3439 
