SURVEY:   LSST
SNID:     1209681
IAUC:     NULL
SNTYPE:   126
RA:       57.381835  # deg
DEC:      -43.890473  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0085 +- 0.0004  # MW E(B-V) 
PEAKMJD:  60291.215     # estimate for LC fit codes
MJD_TRIGGER:       60268.168  
MJD_DETECT_FIRST:  60265.082  
MJD_DETECT_LAST:   60599.164  

REDSHIFT_HELIO:   0.720683 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.720328 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10375639992  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7207  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          57.382237    # deg 
HOSTGAL_DEC:         -43.890799    # deg 
HOSTGAL_SNSEP:       0.796       # arcsec 
HOSTGAL_DDLR:        2.952       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.496 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.313
HOSTGAL_SQRADIUS:     12.445   # Ixx + Iyy
HOSTGAL_MAG:     22.94  22.61  21.84  21.11  20.84  20.61 # ugrizY
HOSTGAL_MAGERR:   0.02   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  762   # template index for SIMSED,NONIa
SIM_LIBID:           5680    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.72068  
SIM_REDSHIFT_CMB:    0.72033  
SIM_REDSHIFT_HOST:   0.67820  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10375639992 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.456 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.496 -9.000 
SIM_DLMU:            43.2234   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0052   # mag 
SIM_RA:              57.381836     # deg  
SIM_DEC:             -43.890472      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0078   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60291.215    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -412.23  # days 
SIM_TRESTMAX:        221.98  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.46  27.64  25.70  24.89  24.55  24.31  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 154 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59582.0480 z WFD -3.0370e-02  2.918e-02    0  1.000 44.270  2.01 2.091e+04  99.0000 
OBS: 59583.0497 z WFD  3.3803e-02  3.681e-02    0  1.000 44.270  2.49 2.129e+04  99.0000 
OBS: 59590.1227 Y WFD -6.7329e-02  5.633e-02    0  1.000 42.570  1.28 1.324e+04  99.0000 
OBS: 59595.0431 Y WFD  1.3015e-03  9.869e-02    0  1.000 43.360  2.39 2.572e+04  99.0000 
OBS: 59624.0343 z WFD -2.0736e-03  4.229e-02    0  1.000 44.270  2.37 2.570e+04  99.0000 
OBS: 59650.0031 Y WFD  3.4159e-02  8.442e-02    0  1.000 43.320  2.03 2.497e+04  99.0000 
OBS: 59651.9992 Y WFD  1.5094e-02  1.557e-01    0  1.000 42.570  2.23 2.101e+04  99.0000 
OBS: 59653.0027 Y WFD -4.1954e-02  1.611e-01    0  1.000 42.540  2.88 1.637e+04  99.0000 
OBS: 59791.3520 g WFD  1.0804e-03  8.484e-03    0  1.000 44.670  2.76 6.397e+03  99.0000 
OBS: 59802.4156 Y WFD -1.2491e-02  7.363e-02    0  1.000 42.580  1.58 1.415e+04  99.0000 
OBS: 59803.3606 Y WFD -2.4638e-02  8.330e-02    0  1.000 42.560  1.63 1.524e+04  99.0000 
OBS: 59805.3236 Y WFD  5.8948e-02  5.473e-02    0  1.000 43.720  1.80 2.639e+04  99.0000 
OBS: 59818.3870 u WFD  8.3169e-03  1.918e-02    0  1.000 41.330  1.82 1.009e+03  99.0000 
OBS: 59819.2934 u WFD  3.1743e-02  2.951e-02    0  1.000 41.080  2.38 9.424e+02  99.0000 
OBS: 59820.4198 z WFD  4.8018e-03  4.882e-02    0  1.000 43.530  1.90 1.872e+04  99.0000 
OBS: 59824.3651 i WFD -1.1306e-02  1.031e-02    0  1.000 44.590  1.44 1.384e+04  99.0000 
OBS: 59825.3244 g WFD -4.7060e-03  1.028e-02    0  1.000 44.030  2.68 4.427e+03  99.0000 
OBS: 59825.3445 r WFD  8.5395e-03  9.962e-03    0  1.000 44.820  2.36 1.009e+04  99.0000 
OBS: 59825.3508 g WFD -2.9508e-03  9.314e-03    0  1.000 44.030  2.46 4.370e+03  99.0000 
OBS: 59825.3700 r WFD  4.6149e-03  9.280e-03    0  1.000 44.840  2.24 1.008e+04  99.0000 
OBS: 59832.2304 Y WFD -1.0545e-01  1.035e-01    0  1.000 42.500  1.75 1.668e+04  99.0000 
OBS: 59837.3835 i WFD  1.5913e-03  1.498e-02    0  1.000 44.630  1.49 2.018e+04  99.0000 
OBS: 59837.3943 z WFD -4.4051e-02  2.895e-02    0  1.000 43.520  1.35 1.548e+04  99.0000 
OBS: 59839.2978 r WFD -2.0767e-03  1.036e-02    0  1.000 44.890  1.70 1.553e+04  99.0000 
OBS: 59840.2100 g WFD  1.3033e-02  8.895e-03    0  1.000 43.900  2.04 4.465e+03  99.0000 
OBS: 59840.2225 r WFD  4.1837e-03  1.112e-02    0  1.000 44.020  1.68 7.570e+03  99.0000 
OBS: 59840.2286 g WFD -8.0330e-03  7.553e-03    0  1.000 43.980  1.84 4.525e+03  99.0000 
OBS: 59840.2418 r WFD -8.8918e-03  1.124e-02    0  1.000 44.040  1.76 7.438e+03  99.0000 
OBS: 59851.2935 u WFD -1.8795e-02  1.050e-02    0  1.000 42.800  1.96 1.986e+03  99.0000 
OBS: 59851.3934 z WFD  6.8262e-02  6.440e-02    0  1.000 43.520  2.42 1.921e+04  99.0000 
OBS: 59853.2429 r WFD -7.8029e-03  1.041e-02    0  1.000 44.810  2.39 1.031e+04  99.0000 
OBS: 59857.3504 i WFD  6.3891e-03  1.609e-02    0  1.000 43.840  1.60 9.743e+03  99.0000 
OBS: 59859.1558 Y WFD -3.3564e-02  7.652e-02    0  1.000 43.260  2.01 2.163e+04  99.0000 
OBS: 59860.3762 z WFD -1.3302e-02  3.017e-02    0  1.000 44.270  1.73 2.512e+04  99.0000 
