SURVEY:   LSST
SNID:     1216646
IAUC:     NULL
SNTYPE:   126
RA:       126.057652  # deg
DEC:      -52.212216  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.6174 +- 0.0309  # MW E(B-V) 
PEAKMJD:  60203.168     # estimate for LC fit codes
MJD_TRIGGER:       60223.391  
MJD_DETECT_FIRST:  60216.383  
MJD_DETECT_LAST:   60458.961  

REDSHIFT_HELIO:   0.766067 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.767262 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6001019915  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7661  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          126.057597    # deg 
HOSTGAL_DEC:         -52.212237    # deg 
HOSTGAL_SNSEP:       0.091       # arcsec 
HOSTGAL_DDLR:        0.226       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.233 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.143
HOSTGAL_SQRADIUS:     14.604   # Ixx + Iyy
HOSTGAL_MAG:     27.38  26.11  24.45  23.12  22.51  22.15 # ugrizY
HOSTGAL_MAGERR:   0.16   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  710   # template index for SIMSED,NONIa
SIM_LIBID:           12647    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.76607  
SIM_REDSHIFT_CMB:    0.76726  
SIM_REDSHIFT_HOST:   0.74631  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6001019915 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.297 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.233 -9.000 
SIM_DLMU:            43.3896   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0241   # mag 
SIM_RA:              126.057655     # deg  
SIM_DEC:             -52.212215      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.5691   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60203.168    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -350.98  # days 
SIM_TRESTMAX:        266.68  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   31.86  29.77  27.45  26.25  25.74  25.37  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 134 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.3087 u WFD -1.3175e-02  2.163e-02    0  1.000 41.240  1.95 9.771e+02  99.0000 
OBS: 59589.1377 Y WFD -3.5964e-02  5.328e-02    0  1.000 43.290  1.64 1.897e+04  99.0000 
OBS: 59590.3350 i WFD -1.9152e-02  1.704e-02    0  1.000 43.820  1.59 1.020e+04  99.0000 
OBS: 59592.3611 z WFD  3.3820e-02  3.570e-02    0  1.000 44.240  1.89 2.646e+04  99.0000 
OBS: 59601.3463 i WFD -3.0609e-03  2.986e-02    0  1.000 44.590  2.46 2.347e+04  99.0000 
OBS: 59606.0371 Y WFD -1.8835e-02  1.004e-01    0  1.000 43.710  2.47 3.493e+04  99.0000 
OBS: 59609.0373 z WFD -6.8425e-02  4.549e-02    0  1.000 44.240  2.05 3.108e+04  99.0000 
OBS: 59620.0272 Y WFD -1.0887e-01  1.080e-01    0  1.000 42.550  1.81 1.763e+04  99.0000 
OBS: 59627.0442 z WFD  1.4083e-02  3.586e-02    0  1.000 44.260  1.86 2.751e+04  99.0000 
OBS: 59631.0322 Y WFD -4.2157e-02  7.359e-02    0  1.000 42.550  1.65 1.317e+04  99.0000 
OBS: 59634.0295 Y WFD -3.3855e-02  7.903e-02    0  1.000 42.550  1.79 1.304e+04  99.0000 
OBS: 59649.0030 Y WFD  2.3587e-02  1.083e-01    0  1.000 42.570  1.83 1.780e+04  99.0000 
OBS: 59650.0547 r WFD  1.5276e-02  1.807e-02    0  1.000 44.900  2.68 1.735e+04  99.0000 
OBS: 59660.0287 g WFD  2.3387e-03  8.000e-03    0  1.000 44.030  2.11 4.377e+03  99.0000 
OBS: 59669.9904 z WFD -1.2954e-01  4.594e-02    0  1.000 43.500  2.24 1.453e+04  99.0000 
OBS: 59675.9846 Y WFD -3.6454e-02  8.269e-02    0  1.000 43.330  2.53 1.980e+04  99.0000 
OBS: 59683.0237 Y WFD  4.1779e-03  5.492e-02    0  1.000 42.580  1.20 1.390e+04  99.0000 
OBS: 59685.1234 Y WFD  6.6533e-02  8.030e-02    0  1.000 42.520  1.44 1.602e+04  99.0000 
OBS: 59708.9752 Y WFD -1.7543e-01  7.508e-02    0  1.000 42.570  1.70 1.329e+04  99.0000 
OBS: 59709.9577 Y WFD -2.3364e-01  1.114e-01    0  1.000 42.590  1.76 1.941e+04  99.0000 
OBS: 59710.0699 i WFD  7.0342e-03  3.446e-02    0  1.000 43.820  2.19 1.497e+04  99.0000 
OBS: 59712.0352 Y WFD  1.2136e-01  9.527e-02    0  1.000 42.520  1.86 1.472e+04  99.0000 
OBS: 59747.9529 Y WFD -5.9295e-02  1.450e-01    0  1.000 42.530  2.14 1.965e+04  99.0000 
OBS: 59853.3738 g WFD  1.0952e-02  9.471e-03    0  1.000 43.960  2.12 4.835e+03  99.0000 
OBS: 59861.3399 Y WFD  1.6892e-01  8.887e-02    0  1.000 42.500  1.59 1.577e+04  99.0000 
OBS: 59864.3849 z WFD -1.3972e-01  7.405e-02    0  1.000 43.520  1.84 2.905e+04  99.0000 
OBS: 59868.3478 r WFD -7.8037e-03  1.336e-02    0  1.000 44.850  1.82 1.804e+04  99.0000 
OBS: 59873.3210 r WFD  2.8429e-03  8.438e-03    0  1.000 44.770  1.75 1.100e+04  99.0000 
OBS: 59874.3211 u WFD -9.2420e-03  3.116e-02    0  1.000 41.010  2.38 9.329e+02  99.0000 
OBS: 59877.3060 r WFD -1.6926e-04  1.106e-02    0  1.000 44.760  2.28 1.097e+04  99.0000 
OBS: 59878.3088 g WFD -4.7331e-03  4.766e-03    0  1.000 44.730  1.58 6.634e+03  99.0000 
OBS: 59895.3501 z WFD  9.6771e-03  2.886e-02    0  1.000 44.270  1.67 2.489e+04  99.0000 
OBS: 59898.2772 r WFD -8.8433e-03  1.718e-02    0  1.000 44.870  2.44 1.762e+04  99.0000 
OBS: 59898.3509 z WFD -5.5332e-02  3.807e-02    0  1.000 43.510  1.72 1.583e+04  99.0000 
