SURVEY:   LSST
SNID:     1066611
IAUC:     NULL
SNTYPE:   136
RA:       342.420911  # deg
DEC:      -43.035105  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0094 +- 0.0005  # MW E(B-V) 
PEAKMJD:  59588.781     # estimate for LC fit codes
MJD_TRIGGER:       59758.441  
MJD_DETECT_FIRST:  59749.309  
MJD_DETECT_LAST:   59924.031  

REDSHIFT_HELIO:   0.826287 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.824847 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10501148963  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8263  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          342.420814    # deg 
HOSTGAL_DEC:         -43.035149    # deg 
HOSTGAL_SNSEP:       0.152       # arcsec 
HOSTGAL_DDLR:        0.356       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.398 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.177
HOSTGAL_SQRADIUS:     12.561   # Ixx + Iyy
HOSTGAL_MAG:     25.06  24.68  23.90  22.94  22.62  22.47 # ugrizY
HOSTGAL_MAGERR:   0.18   0.03   0.01   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  734   # template index for SIMSED,NONIa
SIM_LIBID:           15612    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.82629  
SIM_REDSHIFT_CMB:    0.82485  
SIM_REDSHIFT_HOST:   0.82028  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10501148963 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.594 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.398 -9.000 
SIM_DLMU:            43.5860   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0065   # mag 
SIM_RA:              342.420898     # deg  
SIM_DEC:             -43.035107      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0095   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59588.781    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0150  # spectro-search efficiency 
SIM_TRESTMIN:        87.90  # days 
SIM_TRESTMAX:        587.59  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.76  23.64  23.94  23.75  23.65  23.65  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 126 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59749.3083 z WFD  3.8933e+00  3.436e-02 4096  1.000 44.270  1.91 2.590e+04  26.0316 
OBS: 59753.3428 g WFD  4.4974e-02  4.946e-03    0  1.000 44.880  1.58 7.906e+03  31.1372 
OBS: 59758.4413 z WFD  3.2489e+00  5.325e-02 6144  1.000 43.520  2.26 1.700e+04  26.1966 
OBS: 59767.2064 Y WFD  5.5525e+00  1.242e-01 4096  1.000 42.510  2.53 1.397e+04  25.6811 
OBS: 59772.4241 Y WFD  5.0241e+00  6.662e-02 4096  1.000 43.330  2.03 1.988e+04  25.7425 
OBS: 59773.2743 Y WFD  5.0374e+00  8.650e-02 4096  1.000 42.590  1.61 1.646e+04  25.7521 
OBS: 59779.2551 z WFD  2.1887e+00  3.736e-02 4096  1.000 44.260  2.44 2.184e+04  26.6233 
OBS: 59781.4103 r WFD  7.4881e-02  1.553e-02    0  1.000 44.120  2.07 9.408e+03  30.4273 
OBS: 59782.4373 Y WFD  4.4915e+00  1.077e-01 4096  1.000 42.560  2.04 1.574e+04  25.8774 
OBS: 59786.3805 i WFD  4.3282e-01  3.221e-02 4096  1.000 43.830  3.01 1.027e+04  28.3988 
OBS: 59793.2634 i WFD  3.6616e-01  1.765e-02 4096  1.000 44.590  2.42 1.410e+04  28.5705 
OBS: 59796.2385 r WFD  5.2874e-02  1.045e-02    0  1.000 44.830  2.39 1.055e+04  30.7349 
OBS: 59797.1339 z WFD  1.5958e+00  4.351e-02 4096  1.000 44.240  2.77 2.200e+04  27.0135 
OBS: 59801.2035 z WFD  1.4576e+00  3.840e-02 4096  1.000 44.280  1.86 3.000e+04  27.1014 
OBS: 59805.1376 Y WFD  3.3343e+00  7.948e-02 4096  1.000 42.570  1.41 1.696e+04  26.1834 
OBS: 59806.4039 z WFD  1.2581e+00  6.190e-02 4096  1.000 43.490  2.14 2.031e+04  27.2137 
OBS: 59808.3825 i WFD  2.2573e-01  1.873e-02 4096  1.000 44.580  1.75 2.050e+04  28.9478 
OBS: 59809.1117 r WFD  2.8939e-02  6.768e-03 4096  1.000 44.800  1.42 1.118e+04  31.0019 
OBS: 59812.0952 g WFD  1.3693e-02  6.025e-03    0  1.000 44.740  1.94 6.894e+03  32.5856 
OBS: 59819.1334 u WFD  3.3947e-02  1.436e-02    0  1.000 42.040  1.81 1.461e+03  33.6442 
OBS: 59820.0905 i WFD  1.9729e-01  1.218e-02 4096  1.000 44.570  1.53 1.511e+04  29.2399 
OBS: 59827.0542 z WFD  8.7100e-01  2.424e-02 4096  1.000 44.990  2.04 3.321e+04  27.6597 
OBS: 59832.1185 Y WFD  2.5333e+00  5.804e-02 4096  1.000 43.780  1.64 3.245e+04  26.5473 
OBS: 59837.2227 r WFD  6.3568e-02  1.575e-02    0  1.000 44.160  1.44 1.423e+04  31.5849 
OBS: 59843.0835 i WFD  1.0369e-01  1.369e-02 4096  1.000 44.580  1.84 1.426e+04  29.8137 
OBS: 59844.0253 r WFD  2.3043e-02  8.765e-03    0  1.000 44.800  1.88 1.094e+04  31.7260 
OBS: 59851.1371 u WFD  4.0657e-02  2.354e-02    0  1.000 41.320  2.20 1.015e+03  34.4514 
OBS: 59853.1598 r WFD  9.3661e-03  8.891e-03    0  1.000 44.860  2.07 1.065e+04  31.9155 
OBS: 59854.9970 z WFD  4.9581e-01  2.344e-02 4096  1.000 44.250  1.43 2.317e+04  28.2632 
OBS: 59857.0087 z WFD  4.9674e-01  2.810e-02 4096  1.000 44.710  1.80 3.371e+04  28.3067 
OBS: 59860.0528 Y WFD  1.6720e+00  4.818e-02 4096  1.000 44.100  1.79 3.314e+04  26.9239 
OBS: 59864.1620 i WFD  1.0062e-01  2.901e-02    0  1.000 43.880  1.67 1.747e+04  30.3397 
OBS: 59880.1740 r WFD  6.3513e-03  7.498e-03    0  1.000 44.800  1.59 1.106e+04  32.4758 
OBS: 59882.0094 z WFD  2.8525e-01  1.349e-02 4096  1.000 45.020  1.15 3.371e+04  28.8466 
