SURVEY:   LSST
SNID:     1113358
IAUC:     NULL
SNTYPE:   132
RA:       155.814282  # deg
DEC:      -1.270213  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0420 +- 0.0021  # MW E(B-V) 
PEAKMJD:  60388.043     # estimate for LC fit codes
MJD_TRIGGER:       60386.105  
MJD_DETECT_FIRST:  60382.125  
MJD_DETECT_LAST:   60653.344  

REDSHIFT_HELIO:   1.002803 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.005210 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6064689294  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0028  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          155.814299    # deg 
HOSTGAL_DEC:         -1.270224    # deg 
HOSTGAL_SNSEP:       0.033       # arcsec 
HOSTGAL_DDLR:        0.116       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.381 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.142
HOSTGAL_SQRADIUS:     10.324   # Ixx + Iyy
HOSTGAL_MAG:     25.62  25.13  24.02  22.94  22.32  21.88 # ugrizY
HOSTGAL_MAGERR:   0.33   0.04   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  756   # template index for SIMSED,NONIa
SIM_LIBID:           11359    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.00280  
SIM_REDSHIFT_CMB:    1.00521  
SIM_REDSHIFT_HOST:   1.04588  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6064689294 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.613 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.381 -9.000 
SIM_DLMU:            44.1116   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1167   # mag 
SIM_RA:              155.814285     # deg  
SIM_DEC:             -1.270213      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0433   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60388.043    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -400.85  # days 
SIM_TRESTMAX:        141.96  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.52  25.78  25.60  25.56  25.70  25.77  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.2490 u WFD  6.5555e-03  3.147e-02    0  1.000 41.040  2.36 9.771e+02  99.0000 
OBS: 59590.3596 Y WFD -5.6165e-02  5.714e-02    0  1.000 43.310  1.50 2.266e+04  99.0000 
OBS: 59602.3737 Y WFD  4.2621e-02  1.581e-01    0  1.000 42.530  2.28 2.011e+04  99.0000 
OBS: 59603.3167 i WFD -4.6686e-02  1.867e-02    0  1.000 45.360  2.38 3.084e+04  99.0000 
OBS: 59609.3635 z WFD -1.5555e-02  6.041e-02    0  1.000 43.470  2.72 1.531e+04  99.0000 
OBS: 59610.3754 z WFD -5.7026e-02  5.071e-02    0  1.000 43.480  2.04 1.729e+04  99.0000 
OBS: 59611.3788 z WFD  5.3913e-03  4.792e-02    0  1.000 43.480  1.73 1.927e+04  99.0000 
OBS: 59657.0458 z WFD  3.0300e-02  5.641e-02    0  1.000 44.260  1.97 4.086e+04  99.0000 
OBS: 59660.1158 Y WFD  7.7995e-02  4.997e-02    0  1.000 43.740  1.84 2.400e+04  99.0000 
OBS: 59685.0704 Y WFD -1.2685e-02  4.047e-02    0  1.000 43.780  1.21 3.067e+04  99.0000 
OBS: 59686.0656 Y WFD -1.3973e-02  7.385e-02    0  1.000 42.590  1.37 1.652e+04  99.0000 
OBS: 59713.0273 Y WFD  3.3703e-02  5.906e-02    0  1.000 43.750  1.89 2.788e+04  99.0000 
OBS: 59718.0606 i WFD  2.6953e-02  2.551e-02    0  1.000 44.590  2.17 2.273e+04  99.0000 
OBS: 59910.3322 g WFD -1.1468e-02  1.147e-02    0  1.000 44.000  2.32 5.553e+03  99.0000 
OBS: 59910.3459 z WFD -1.2646e-02  3.313e-02    0  1.000 44.680  1.99 3.498e+04  99.0000 
OBS: 59911.3325 r WFD -3.5574e-04  1.487e-02    0  1.000 44.040  1.99 8.706e+03  99.0000 
OBS: 59912.3461 z WFD  1.6039e-02  4.300e-02    0  1.000 44.240  1.82 3.310e+04  99.0000 
OBS: 59914.3451 z WFD -4.3716e-02  3.363e-02    0  1.000 44.240  1.79 2.632e+04  99.0000 
OBS: 59915.3311 g WFD -9.0147e-03  1.561e-02    0  1.000 44.000  3.16 5.547e+03  99.0000 
OBS: 59920.3381 Y WFD -5.8156e-03  5.815e-02    0  1.000 43.730  1.77 2.877e+04  99.0000 
OBS: 59922.3248 z WFD  2.9219e-02  3.405e-02    0  1.000 44.250  1.61 2.990e+04  99.0000 
OBS: 59923.3201 z WFD -2.1669e-03  3.438e-02    0  1.000 44.250  1.62 3.000e+04  99.0000 
OBS: 59924.3029 Y WFD -9.0504e-02  9.642e-02    0  1.000 42.520  1.69 1.639e+04  99.0000 
OBS: 59935.3220 i WFD  2.1392e-02  1.241e-02    0  1.000 44.580  1.54 1.544e+04  99.0000 
OBS: 59937.3087 r WFD  1.2646e-02  9.103e-03    0  1.000 45.260  2.28 1.431e+04  99.0000 
OBS: 59942.2837 r WFD  8.6931e-04  3.669e-03    0  1.000 46.320  1.50 2.327e+04  99.0000 
OBS: 59944.2853 i WFD  2.7038e-02  1.464e-02    0  1.000 44.570  1.82 1.527e+04  99.0000 
OBS: 59945.2553 i WFD  1.2983e-02  1.564e-02    0  1.000 44.560  1.84 1.599e+04  99.0000 
OBS: 59947.2521 z WFD -1.1689e-02  3.506e-02    0  1.000 44.240  2.03 2.419e+04  99.0000 
OBS: 59953.2622 Y WFD -3.3619e-02  9.868e-02    0  1.000 42.570  1.64 1.810e+04  99.0000 
OBS: 59966.1957 i WFD -2.1220e-02  2.161e-02    0  1.000 44.550  2.53 1.592e+04  99.0000 
OBS: 59968.2024 u WFD -5.0547e-02  2.133e-02    0  1.000 41.870  2.36 1.423e+03  99.0000 
OBS: 59972.2192 r WFD  1.3499e-03  1.020e-02    0  1.000 44.820  2.12 1.150e+04  99.0000 
OBS: 59973.2452 g WFD -1.9690e-03  4.435e-03    0  1.000 44.830  1.46 7.327e+03  99.0000 
