SURVEY:   LSST
SNID:     1061880
IAUC:     NULL
SNTYPE:   136
RA:       226.842409  # deg
DEC:      -37.433357  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0806 +- 0.0040  # MW E(B-V) 
PEAKMJD:  60008.637     # estimate for LC fit codes
MJD_TRIGGER:       60008.375  
MJD_DETECT_FIRST:  60004.258  
MJD_DETECT_LAST:   60184.055  

REDSHIFT_HELIO:   0.966512 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.967679 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9001732619  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9665  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          226.842321    # deg 
HOSTGAL_DEC:         -37.433384    # deg 
HOSTGAL_SNSEP:       0.132       # arcsec 
HOSTGAL_DDLR:        0.485       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.693 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.530
HOSTGAL_SQRADIUS:     8.888   # Ixx + Iyy
HOSTGAL_MAG:     27.92  27.20  26.09  24.99  24.44  24.27 # ugrizY
HOSTGAL_MAGERR:  26.62   0.16   0.06   0.04   0.04   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  725   # template index for SIMSED,NONIa
SIM_LIBID:           10881    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.96651  
SIM_REDSHIFT_CMB:    0.96767  
SIM_REDSHIFT_HOST:   0.91996  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9001732619 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.032 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.693 -9.000 
SIM_DLMU:            44.0108   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0128   # mag 
SIM_RA:              226.842407     # deg  
SIM_DEC:             -37.433357      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0827   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60008.637    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0062  # spectro-search efficiency 
SIM_TRESTMIN:        -186.69  # days 
SIM_TRESTMAX:        274.80  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.24  23.64  23.83  24.14  24.38  24.60  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 126 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59641.2955 u WFD  4.1418e-02  2.866e-02    0  1.000 41.260  2.48 1.037e+03  99.0000 
OBS: 59647.3986 z WFD -2.2927e-02  3.455e-02    0  1.000 43.520  1.69 1.476e+04  99.0000 
OBS: 59652.2872 Y WFD -5.2680e-02  8.469e-02    0  1.000 42.570  2.00 1.274e+04  99.0000 
OBS: 59653.2529 Y WFD  6.0125e-02  9.836e-02    0  1.000 42.550  2.10 1.383e+04  99.0000 
OBS: 59654.2244 Y WFD  1.7692e-01  7.968e-02    0  1.000 43.290  2.22 2.096e+04  99.0000 
OBS: 59675.1620 r WFD  7.7338e-03  9.261e-03    0  1.000 44.810  1.96 1.119e+04  99.0000 
OBS: 59676.3927 i WFD  7.8918e-04  1.658e-02    0  1.000 44.570  2.09 1.506e+04  99.0000 
OBS: 59679.2277 z WFD  2.4788e-02  3.458e-02    0  1.000 44.680  1.98 3.669e+04  99.0000 
OBS: 59683.1408 Y WFD  5.7256e-02  4.290e-02    0  1.000 43.730  1.45 2.591e+04  99.0000 
OBS: 59684.1724 Y WFD -6.7298e-02  7.436e-02    0  1.000 42.580  1.44 1.568e+04  99.0000 
OBS: 59685.1921 Y WFD -1.0021e-01  7.374e-02    0  1.000 42.590  1.32 1.712e+04  99.0000 
OBS: 59686.3511 Y WFD  1.5996e-01  7.598e-02    0  1.000 43.320  1.50 3.041e+04  99.0000 
OBS: 59690.1825 i WFD -3.1275e-03  1.197e-02    0  1.000 45.390  1.38 3.503e+04  99.0000 
OBS: 59713.1706 Y WFD  2.9678e-02  9.288e-02    0  1.000 42.610  1.79 1.620e+04  99.0000 
OBS: 59717.2884 z WFD -4.4714e-02  5.882e-02    0  1.000 44.270  2.56 3.309e+04  99.0000 
OBS: 59718.3355 z WFD -6.8956e-02  6.879e-02    0  1.000 43.480  2.27 2.108e+04  99.0000 
OBS: 59748.2196 i WFD  2.2731e-02  2.058e-02    0  1.000 44.600  1.82 2.206e+04  99.0000 
OBS: 59750.9662 z WFD  7.9806e-03  3.974e-02    0  1.000 43.490  1.95 1.431e+04  99.0000 
OBS: 59758.9601 z WFD -1.5025e-02  3.567e-02    0  1.000 43.500  1.64 1.541e+04  99.0000 
OBS: 59762.9633 z WFD  3.8522e-02  3.418e-02    0  1.000 43.510  1.68 1.455e+04  99.0000 
OBS: 59776.1338 i WFD -9.2880e-03  3.083e-02    0  1.000 44.610  2.51 2.419e+04  99.0000 
OBS: 59780.9625 z WFD -3.7045e-02  4.621e-02    0  1.000 43.530  1.96 1.717e+04  99.0000 
OBS: 59784.9671 z WFD -1.9346e-02  4.747e-02    0  1.000 43.520  2.30 1.490e+04  99.0000 
OBS: 59787.0622 r WFD -8.9488e-03  1.436e-02    0  1.000 44.820  3.14 1.093e+04  99.0000 
OBS: 59790.0064 g WFD -9.1558e-03  8.789e-03    0  1.000 44.860  3.09 7.052e+03  99.0000 
OBS: 59800.0650 Y WFD  7.1033e-02  7.617e-02    0  1.000 43.300  2.01 2.234e+04  99.0000 
OBS: 59802.0646 Y WFD  2.0989e-02  4.676e-02    0  1.000 44.050  1.74 3.160e+04  99.0000 
OBS: 59810.0375 r WFD  6.5850e-04  7.218e-03    0  1.000 44.820  1.49 1.158e+04  99.0000 
OBS: 59818.0114 u WFD  2.8061e-03  2.018e-02    0  1.000 41.260  1.70 1.066e+03  99.0000 
OBS: 59964.3675 z WFD -4.0642e-02  4.742e-02    0  1.000 43.490  1.88 1.771e+04  99.0000 
OBS: 59968.3719 z WFD -6.0740e-02  5.411e-02    0  1.000 43.510  2.16 1.791e+04  99.0000 
OBS: 59978.3770 z WFD -2.8458e-02  2.824e-02    0  1.000 43.510  1.29 1.565e+04  99.0000 
OBS: 59980.2935 Y WFD -4.4015e-02  8.579e-02    0  1.000 42.500  1.52 1.592e+04  99.0000 
OBS: 59985.3775 z WFD  3.0669e-02  3.442e-02    0  1.000 43.520  1.39 1.787e+04  99.0000 
