SURVEY:   LSST
SNID:     1264057
IAUC:     NULL
SNTYPE:   110
RA:       158.619153  # deg
DEC:      -47.172257  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1796 +- 0.0090  # MW E(B-V) 
PEAKMJD:  60197.668     # estimate for LC fit codes
MJD_TRIGGER:       60270.305  
MJD_DETECT_FIRST:  60261.352  
MJD_DETECT_LAST:   60649.289  

REDSHIFT_HELIO:   0.480916 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.482296 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10375295169  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4809  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          158.619351    # deg 
HOSTGAL_DEC:         -47.172168    # deg 
HOSTGAL_SNSEP:       0.314       # arcsec 
HOSTGAL_DDLR:        0.249       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.789 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.020
HOSTGAL_SQRADIUS:     20.969   # Ixx + Iyy
HOSTGAL_MAG:     25.42  22.99  21.28  20.38  19.84  19.50 # ugrizY
HOSTGAL_MAGERR:   0.10   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           9057    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.48092  
SIM_REDSHIFT_CMB:    0.48230  
SIM_REDSHIFT_HOST:   0.46217  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10375295169 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.099 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.789 -9.000 
SIM_DLMU:            42.1654   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0068   # mag 
SIM_RA:              158.619156     # deg  
SIM_DEC:             -47.172256      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1781   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60197.668    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.3226e-05 
SIM_SALT2x1:         0.1183 
SIM_SALT2c:          0.0154 
SIM_SALT2mB:         22.8314 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1022  # spectro-search efficiency 
SIM_TRESTMIN:        -414.18  # days 
SIM_TRESTMAX:        321.12  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.84  24.30  23.03  23.04  22.89  22.98  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.2983 u WFD  1.9409e-02  2.805e-02    0  1.000 41.210  2.50 9.613e+02  99.0000 
OBS: 59590.2357 i WFD  1.6742e-02  1.207e-02    0  1.000 44.580  1.59 1.455e+04  99.0000 
OBS: 59594.1598 Y WFD -3.1264e-02  6.848e-02    0  1.000 43.260  1.82 2.137e+04  99.0000 
OBS: 59599.3664 z WFD  5.3312e-02  4.720e-02    0  1.000 43.520  1.76 1.936e+04  99.0000 
OBS: 59601.2955 i WFD  8.5529e-03  2.118e-02    0  1.000 44.630  1.81 2.347e+04  99.0000 
OBS: 59604.3669 z WFD  1.2463e-02  4.392e-02    0  1.000 43.510  2.06 1.525e+04  99.0000 
OBS: 59607.3388 g WFD -1.2633e-03  5.706e-03    0  1.000 44.830  1.97 6.985e+03  99.0000 
OBS: 59628.3751 z WFD  1.9367e-02  3.740e-02    0  1.000 44.250  1.69 3.129e+04  99.0000 
OBS: 59631.3537 i WFD  2.9830e-02  2.334e-02    0  1.000 44.590  1.86 2.426e+04  99.0000 
OBS: 59643.1748 r WFD -5.9613e-03  1.176e-02    0  1.000 44.830  2.77 1.024e+04  99.0000 
OBS: 59654.0902 Y WFD  5.6569e-02  9.335e-02    0  1.000 43.330  2.75 2.057e+04  99.0000 
OBS: 59656.0038 z WFD -1.8401e-02  5.918e-02    0  1.000 44.260  2.33 3.624e+04  99.0000 
OBS: 59663.1612 g WFD -6.5045e-03  9.874e-03    0  1.000 44.840  3.18 7.558e+03  99.0000 
OBS: 59678.9900 Y WFD  1.0253e-01  6.951e-02    0  1.000 42.550  1.54 1.333e+04  99.0000 
OBS: 59684.1051 Y WFD -5.7651e-02  6.239e-02    0  1.000 42.580  1.25 1.516e+04  99.0000 
OBS: 59685.2180 Y WFD  3.6598e-02  8.548e-02    0  1.000 42.520  1.42 1.730e+04  99.0000 
OBS: 59712.0425 Y WFD -1.1644e-01  8.220e-02    0  1.000 42.580  1.76 1.418e+04  99.0000 
OBS: 59713.1189 Y WFD  1.0224e-01  1.157e-01    0  1.000 42.540  2.17 1.561e+04  99.0000 
OBS: 59718.1051 i WFD -2.3513e-02  2.335e-02    0  1.000 44.600  1.99 2.290e+04  99.0000 
OBS: 59768.9925 z WFD -2.9309e-02  2.562e-02    0  1.000 44.670  1.78 2.996e+04  99.0000 
OBS: 59777.9673 z WFD -1.9943e-02  5.533e-02    0  1.000 44.240  2.74 2.829e+04  99.0000 
OBS: 59902.3316 r WFD  3.0108e-02  1.560e-02    0  1.000 44.780  2.99 1.202e+04  99.0000 
OBS: 59913.3026 r WFD  4.4776e-03  8.553e-03    0  1.000 44.800  1.81 1.109e+04  99.0000 
OBS: 59918.3494 z WFD  1.9269e-02  3.580e-02    0  1.000 43.520  1.48 1.746e+04  99.0000 
OBS: 59928.2739 i WFD  1.3275e-02  2.217e-02    0  1.000 44.590  2.24 1.913e+04  99.0000 
OBS: 59928.3433 Y WFD  8.5126e-02  8.897e-02    0  1.000 42.580  1.96 1.378e+04  99.0000 
OBS: 59929.2575 r WFD  3.1945e-03  9.056e-03    0  1.000 45.590  2.01 2.188e+04  99.0000 
OBS: 59935.2467 i WFD -1.1535e-02  1.262e-02    0  1.000 44.560  1.55 1.532e+04  99.0000 
OBS: 59948.2559 z WFD -2.9238e-02  2.976e-02    0  1.000 44.250  1.77 2.377e+04  99.0000 
OBS: 59950.2631 Y WFD -7.4050e-03  9.435e-02    0  1.000 42.580  1.95 1.469e+04  99.0000 
OBS: 59951.3120 z WFD  8.3152e-03  2.644e-02    0  1.000 44.270  1.47 2.591e+04  99.0000 
OBS: 59952.1821 Y WFD -1.3631e-01  9.837e-02    0  1.000 42.500  1.74 1.595e+04  99.0000 
OBS: 59956.3061 i WFD -1.3512e-02  1.238e-02    0  1.000 45.820  1.97 3.774e+04  99.0000 
OBS: 59957.3334 Y WFD  7.9211e-02  5.838e-02    0  1.000 42.600  1.35 1.338e+04  99.0000 
OBS: 59964.2594 u WFD -2.6545e-02  2.012e-02    0  1.000 41.260  1.83 9.866e+02  99.0000 
OBS: 59968.1485 u WFD -5.0342e-02  3.187e-02    0  1.000 41.000  2.42 9.297e+02  99.0000 
OBS: 59972.1552 r WFD  1.2632e-02  1.002e-02    0  1.000 44.800  2.05 1.146e+04  99.0000 
