SURVEY:   LSST
SNID:     1121863
IAUC:     NULL
SNTYPE:   132
RA:       272.310997  # deg
DEC:      1.763508  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.2980 +- 0.0149  # MW E(B-V) 
PEAKMJD:  60006.250     # estimate for LC fit codes
MJD_TRIGGER:       60011.383  
MJD_DETECT_FIRST:  60009.398  
MJD_DETECT_LAST:   60095.168  

REDSHIFT_HELIO:   1.585975 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.585178 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7880635097  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.5860  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          272.311069    # deg 
HOSTGAL_DEC:         1.763581    # deg 
HOSTGAL_SNSEP:       0.166       # arcsec 
HOSTGAL_DDLR:        2.100       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.487 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.320
HOSTGAL_SQRADIUS:     7.416   # Ixx + Iyy
HOSTGAL_MAG:     25.07  24.92  24.82  24.78  24.67  24.35 # ugrizY
HOSTGAL_MAGERR:   0.05   0.01   0.01   0.02   0.03   0.07 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIL 
SIM_TEMPLATE_INDEX:  758   # template index for SIMSED,NONIa
SIM_LIBID:           19864    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.58598  
SIM_REDSHIFT_CMB:    1.58518  
SIM_REDSHIFT_HOST:   1.52100  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7880635097 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.956 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.487 -9.000 
SIM_DLMU:            45.3377   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0790   # mag 
SIM_RA:              272.311005     # deg  
SIM_DEC:             1.763508      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.2887   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60006.250    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -124.92  # days 
SIM_TRESTMAX:        217.30  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.21  26.83  26.13  25.81  25.71  26.07  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 64 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59683.3072 Y WFD  1.6146e-01  7.907e-02    0  1.000 42.520  1.54 1.475e+04  99.0000 
OBS: 59685.3534 Y WFD  3.5536e-02  2.411e-02    0  1.000 44.930  1.37 4.654e+04  99.0000 
OBS: 59694.3400 g WFD -2.4072e-03  7.666e-03    0  1.000 44.850  2.18 8.639e+03  99.0000 
OBS: 59698.4178 z WFD  3.9829e-02  6.547e-02    0  1.000 43.480  3.01 1.513e+04  99.0000 
OBS: 59699.4204 z WFD  3.7973e-02  4.797e-02    0  1.000 43.490  2.12 1.589e+04  99.0000 
OBS: 59701.4259 z WFD -1.6676e-02  4.009e-02    0  1.000 43.500  1.44 1.973e+04  99.0000 
OBS: 59702.4005 u WFD -1.5155e-02  2.721e-02    0  1.000 41.190  2.27 1.009e+03  99.0000 
OBS: 59705.4196 z WFD  3.1481e-03  4.776e-02    0  1.000 43.480  2.13 1.560e+04  99.0000 
OBS: 59747.1887 Y WFD -3.8918e-02  8.667e-02    0  1.000 42.560  1.66 1.556e+04  99.0000 
OBS: 59773.0462 Y WFD -8.8129e-02  1.008e-01    0  1.000 43.280  2.00 2.917e+04  99.0000 
OBS: 59774.1523 z WFD  6.0320e-02  3.819e-02    0  1.000 45.250  2.12 6.398e+04  99.0000 
OBS: 59775.1590 z WFD -1.2314e-02  2.078e-02    0  1.000 46.200  2.26 7.832e+04  99.0000 
OBS: 59788.0344 r WFD  1.6459e-02  1.196e-02    0  1.000 44.800  2.50 1.122e+04  99.0000 
OBS: 59793.0354 r WFD  7.0069e-03  9.700e-03    0  1.000 44.810  2.05 1.120e+04  99.0000 
OBS: 59850.0209 i WFD  1.7889e-02  2.314e-02    0  1.000 43.800  1.93 1.120e+04  99.0000 
OBS: 60009.3982 Y WFD  4.4895e+00  1.495e-01 4096  1.000 42.520  2.50 1.718e+04  25.9161 
OBS: 60011.3821 Y WFD  4.6380e+00  1.773e-01 6144  1.000 42.500  3.11 1.608e+04  25.8501 
OBS: 60055.3185 g WFD  2.9434e-02  4.609e-03 4096  1.000 44.770  1.53 6.875e+03  31.3895 
OBS: 60056.2859 i WFD  3.7684e-01  1.299e-02 4096  1.000 44.560  1.56 1.566e+04  28.5714 
OBS: 60072.3294 z WFD  3.8097e-01  3.562e-02 4096  1.000 44.270  1.59 3.226e+04  28.4229 
OBS: 60078.2055 g WFD -4.7133e-03  8.451e-03    0  1.000 44.700  2.64 6.849e+03  32.3061 
OBS: 60080.3065 u WFD  1.4439e-02  2.498e-02    0  1.000 41.190  2.11 9.961e+02  33.4733 
OBS: 60094.2740 i WFD  4.9210e-02  1.591e-02    0  1.000 44.590  1.74 1.768e+04  30.3007 
OBS: 60095.1672 Y WFD  2.9484e-01  5.861e-02 4096  1.000 43.260  1.59 2.094e+04  28.5855 
OBS: 60096.2115 Y WFD  2.7685e-01  8.266e-02    0  1.000 42.560  1.67 1.476e+04  28.6248 
OBS: 60101.2450 z WFD  1.3635e-01  4.425e-02    0  1.000 44.270  1.85 3.445e+04  29.8432 
OBS: 60119.1845 r WFD  1.7276e-02  1.042e-02    0  1.000 44.820  2.24 1.112e+04  31.9627 
OBS: 60129.1624 Y WFD  2.1539e-01  5.977e-02    0  1.000 44.060  1.80 3.941e+04  29.2232 
OBS: 60132.2419 i WFD  2.9189e-02  1.984e-02    0  1.000 45.030  1.99 2.891e+04  31.2634 
OBS: 60134.0682 i WFD  1.8060e-02  1.953e-02    0  1.000 44.540  2.29 1.575e+04  31.3401 
OBS: 60140.0550 u WFD  3.6543e-02  1.551e-02    0  1.000 42.270  2.09 1.689e+03  35.3535 
OBS: 60160.1010 i WFD  3.8377e-02  1.353e-02    0  1.000 45.810  1.91 4.214e+04  32.0354 
OBS: 60161.0813 r WFD  7.4296e-03  1.332e-02    0  1.000 45.300  2.56 1.935e+04  32.9605 
OBS: 60162.1285 r WFD -7.0643e-03  2.082e-02    0  1.000 44.120  2.37 1.102e+04  32.9420 
