SURVEY:   LSST
SNID:     1119131
IAUC:     NULL
SNTYPE:   132
RA:       221.240867  # deg
DEC:      -41.750406  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0951 +- 0.0048  # MW E(B-V) 
PEAKMJD:  60025.102     # estimate for LC fit codes
MJD_TRIGGER:       60025.375  
MJD_DETECT_FIRST:  60020.270  
MJD_DETECT_LAST:   60511.078  

REDSHIFT_HELIO:   0.769366 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.770509 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  755   # template index for SIMSED,NONIa
SIM_LIBID:           17132    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.73354  
SIM_REDSHIFT_CMB:    0.73466  
SIM_REDSHIFT_HOST:   0.76937  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8876342579 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.241 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.980 -9.000 
SIM_DLMU:            43.2740   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0098   # mag 
SIM_RA:              221.240860     # deg  
SIM_DEC:             -41.750408      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0980   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60025.102    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -224.23  # days 
SIM_TRESTMAX:        297.05  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.87  25.45  25.43  25.47  25.47  25.55  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 123 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59636.3887 z WFD  9.9950e-03  2.889e-02    0  1.000 43.510  1.48 1.396e+04  99.0000 
OBS: 59641.2910 u WFD -1.7509e-02  2.682e-02    0  1.000 41.250  2.35 1.015e+03  99.0000 
OBS: 59647.3999 z WFD -3.9215e-02  3.709e-02    0  1.000 43.510  1.72 1.542e+04  99.0000 
OBS: 59652.2951 Y WFD -3.1555e-02  5.197e-02    0  1.000 43.340  1.77 1.796e+04  99.0000 
OBS: 59653.2600 Y WFD -1.8198e-01  9.237e-02    0  1.000 42.570  2.04 1.362e+04  99.0000 
OBS: 59654.2239 Y WFD  9.5619e-02  7.459e-02    0  1.000 43.310  2.15 2.064e+04  99.0000 
OBS: 59658.3873 z WFD  1.5174e-02  4.972e-02    0  1.000 44.280  2.31 3.128e+04  99.0000 
OBS: 59669.4106 z WFD  1.2294e-01  7.341e-02    0  1.000 43.500  3.11 1.673e+04  99.0000 
OBS: 59670.4164 z WFD -7.7656e-03  8.342e-02    0  1.000 43.510  2.47 2.415e+04  99.0000 
OBS: 59675.1223 r WFD  6.6676e-03  1.194e-02    0  1.000 44.790  2.45 1.133e+04  99.0000 
OBS: 59679.4164 z WFD -8.1317e-03  3.791e-02    0  1.000 44.230  1.92 2.741e+04  99.0000 
OBS: 59681.4216 z WFD -2.1467e-01  6.800e-02    0  1.000 43.490  1.73 2.760e+04  99.0000 
OBS: 59683.1018 Y WFD  6.6830e-02  4.615e-02    0  1.000 43.710  1.50 2.645e+04  99.0000 
OBS: 59684.1647 Y WFD -1.0516e-01  7.373e-02    0  1.000 42.580  1.44 1.555e+04  99.0000 
OBS: 59685.1772 Y WFD  2.3631e-02  6.832e-02    0  1.000 42.590  1.23 1.702e+04  99.0000 
OBS: 59686.3630 Y WFD  2.5093e-02  2.949e-02    0  1.000 45.250  1.55 6.756e+04  99.0000 
OBS: 59689.3890 z WFD -3.2696e-02  4.113e-02    0  1.000 44.240  1.85 3.115e+04  99.0000 
OBS: 59690.2791 i WFD -2.5297e-03  1.370e-02    0  1.000 45.630  1.81 3.814e+04  99.0000 
OBS: 59717.2605 z WFD  4.0016e-02  4.729e-02    0  1.000 44.270  2.29 2.974e+04  99.0000 
OBS: 59776.1136 i WFD  5.1673e-03  2.355e-02    0  1.000 45.360  2.73 3.390e+04  99.0000 
OBS: 59784.9712 z WFD  4.2163e-02  4.554e-02    0  1.000 43.510  2.36 1.380e+04  99.0000 
OBS: 59789.9988 g WFD  2.2096e-03  8.543e-03    0  1.000 44.830  2.99 6.891e+03  99.0000 
OBS: 59793.0857 r WFD -8.2920e-03  1.742e-02    0  1.000 44.050  2.57 7.972e+03  99.0000 
OBS: 59800.0965 Y WFD  3.9687e-02  7.876e-02    0  1.000 43.250  1.89 2.345e+04  99.0000 
OBS: 59802.0670 Y WFD  7.0823e-02  7.670e-02    0  1.000 43.270  1.94 2.267e+04  99.0000 
OBS: 59806.0464 r WFD -1.8551e-02  1.594e-02    0  1.000 44.050  2.32 8.080e+03  99.0000 
OBS: 59813.0356 r WFD  6.9483e-03  1.374e-02    0  1.000 44.030  1.92 8.263e+03  99.0000 
OBS: 59818.0091 u WFD -1.4591e-02  2.078e-02    0  1.000 41.250  1.74 1.063e+03  99.0000 
OBS: 59830.0062 Y WFD -5.0284e-02  1.203e-01    0  1.000 42.520  2.26 1.530e+04  99.0000 
OBS: 59968.3362 u WFD  8.8045e-02  3.485e-02    0  1.000 41.110  2.70 1.009e+03  99.0000 
OBS: 59968.3674 z WFD  1.3712e-02  3.634e-02    0  1.000 44.250  2.11 2.435e+04  99.0000 
OBS: 59978.3828 z WFD  2.5481e-02  3.578e-02    0  1.000 43.520  1.29 2.002e+04  99.0000 
OBS: 59983.3792 z WFD -9.4536e-02  3.689e-02    0  1.000 44.280  1.76 3.047e+04  99.0000 
OBS: 59985.3807 z WFD  6.9640e-02  3.527e-02    0  1.000 43.520  1.39 1.832e+04  99.0000 
OBS: 59994.3429 r WFD -6.9405e-03  5.098e-03    0  1.000 45.600  1.63 1.533e+04  99.0000 
OBS: 59997.2567 u WFD -6.7764e-04  2.319e-02    0  1.000 41.150  1.87 1.006e+03  99.0000 
OBS: 59999.2503 g WFD -9.4152e-04  6.217e-03    0  1.000 44.740  1.99 6.935e+03  99.0000 
OBS: 60004.2794 r WFD -6.1922e-03  6.214e-03    0  1.000 46.020  2.37 1.892e+04  99.0000 
OBS: 60006.2165 z WFD -2.3483e-02  4.518e-02    0  1.000 44.230  2.57 2.440e+04  99.0000 
OBS: 60009.2059 Y WFD  6.3851e-02  1.146e-01    0  1.000 42.520  2.08 1.583e+04  99.0000 
OBS: 60010.3402 z WFD  2.8454e-03  3.912e-02    0  1.000 44.280  2.11 2.695e+04  99.0000 
OBS: 60013.3614 z WFD  2.8274e-02  2.422e-02    0  1.000 45.050  1.75 4.089e+04  99.0000 
OBS: 60020.2697 r WFD  4.6761e+00  7.832e-03 4096  1.000 44.850  1.73 1.107e+04  25.8237 
OBS: 60025.3758 i WFD  6.5900e+00  8.717e-03 6144  1.000 44.590  1.17 1.432e+04  25.4541 
OBS: 60027.2167 u WFD  3.5443e+00  1.333e-02 4096  1.000 41.990  1.61 1.433e+03  26.1262 
OBS: 60030.3452 i WFD  7.4042e+00  9.550e-03 4096  1.000 44.590  1.29 1.423e+04  25.3227 
OBS: 60036.3345 i WFD  7.3639e+00  1.093e-02 4096  1.000 44.590  1.48 1.422e+04  25.3315 
OBS: 60038.1190 Y WFD  6.8649e+00  1.515e-01 4096  1.000 42.520  2.69 1.618e+04  25.3830 
OBS: 60039.1534 Y WFD  7.1379e+00  1.437e-01 4096  1.000 42.560  2.57 1.667e+04  25.3674 
OBS: 60040.2379 Y WFD  7.0751e+00  1.121e-01 4096  1.000 42.610  2.01 1.740e+04  25.3797 
OBS: 60041.3357 z WFD  7.8879e+00  5.148e-02 4096  1.000 44.280  1.99 3.759e+04  25.2596 
OBS: 60051.0986 u WFD  1.1403e-01  2.416e-02    0  1.000 41.140  1.93 1.006e+03  30.1517 
