SURVEY:   LSST
SNID:     1054590
IAUC:     NULL
SNTYPE:   136
RA:       90.929701  # deg
DEC:      -35.032019  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0414 +- 0.0021  # MW E(B-V) 
PEAKMJD:  60403.668     # estimate for LC fit codes
MJD_TRIGGER:       60416.996  
MJD_DETECT_FIRST:  60393.059  
MJD_DETECT_LAST:   60436.969  

REDSHIFT_HELIO:   0.777879 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.778431 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10375358764  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7779  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          90.929975    # deg 
HOSTGAL_DEC:         -35.031940    # deg 
HOSTGAL_SNSEP:       0.392       # arcsec 
HOSTGAL_DDLR:        1.238       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.657 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.369
HOSTGAL_SQRADIUS:     11.512   # Ixx + Iyy
HOSTGAL_MAG:     26.65  26.14  25.22  24.83  24.59  24.41 # ugrizY
HOSTGAL_MAGERR:   0.67   0.09   0.04   0.04   0.06   0.11 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  745   # template index for SIMSED,NONIa
SIM_LIBID:           3589    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.77788  
SIM_REDSHIFT_CMB:    0.77842  
SIM_REDSHIFT_HOST:   0.79766  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10375358764 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.718 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.657 -9.000 
SIM_DLMU:            43.4289   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0085   # mag 
SIM_RA:              90.929703     # deg  
SIM_DEC:             -35.032021      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0411   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60403.668    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0100  # spectro-search efficiency 
SIM_TRESTMIN:        -463.27  # days 
SIM_TRESTMAX:        146.57  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.24  23.59  23.95  24.07  24.15  24.47  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 135 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59580.0387 Y WFD -2.2614e-01  1.588e-01    0  1.000 42.550  2.49 1.883e+04  99.0000 
OBS: 59583.1138 u WFD  2.5634e-03  2.353e-02    0  1.000 41.300  2.20 9.961e+02  99.0000 
OBS: 59584.1250 u WFD  6.1102e-03  2.567e-02    0  1.000 41.290  2.40 9.866e+02  99.0000 
OBS: 59588.0838 Y WFD -1.8511e-01  9.072e-02    0  1.000 42.570  2.16 1.264e+04  99.0000 
OBS: 59589.0466 Y WFD  1.3142e-01  7.804e-02    0  1.000 42.560  1.65 1.410e+04  99.0000 
OBS: 59592.1659 z WFD -1.6331e-02  2.500e-02    0  1.000 44.270  1.62 2.223e+04  99.0000 
OBS: 59596.0509 Y WFD -1.9884e-02  6.743e-02    0  1.000 42.580  1.35 1.517e+04  99.0000 
OBS: 59598.1607 z WFD  4.9216e-02  4.372e-02    0  1.000 44.280  2.41 2.637e+04  99.0000 
OBS: 59601.2702 i WFD -2.8270e-03  3.395e-02    0  1.000 43.810  1.98 1.616e+04  99.0000 
OBS: 59625.1373 Y WFD -5.8795e-02  6.858e-02    0  1.000 42.580  1.40 1.488e+04  99.0000 
OBS: 59634.1022 r WFD  1.0926e-03  8.073e-03    0  1.000 44.830  1.89 1.030e+04  99.0000 
OBS: 59639.0157 z WFD -1.3640e-02  4.609e-02    0  1.000 44.280  2.32 2.887e+04  99.0000 
OBS: 59645.0128 z WFD -4.0807e-02  3.370e-02    0  1.000 43.510  1.72 1.401e+04  99.0000 
OBS: 59649.0155 Y WFD -5.4755e-02  7.424e-02    0  1.000 42.590  1.76 1.293e+04  99.0000 
OBS: 59655.0066 Y WFD -4.2222e-02  8.625e-02    0  1.000 42.600  1.85 1.442e+04  99.0000 
OBS: 59657.0966 z WFD  9.9920e-02  3.836e-02    0  1.000 44.250  1.96 2.767e+04  99.0000 
OBS: 59684.9818 Y WFD  5.0117e-04  6.398e-02    0  1.000 42.560  1.28 1.490e+04  99.0000 
OBS: 59686.9950 z WFD  2.4038e-02  2.822e-02    0  1.000 44.260  1.61 2.501e+04  99.0000 
OBS: 59693.9692 Y WFD  1.0620e-01  1.222e-01    0  1.000 42.560  2.21 1.648e+04  99.0000 
OBS: 59694.9686 Y WFD  1.5624e-01  9.880e-02    0  1.000 42.560  1.77 1.664e+04  99.0000 
OBS: 59824.3703 i WFD  2.9758e-02  1.386e-02    0  1.000 44.570  1.75 1.503e+04  99.0000 
OBS: 59842.3127 r WFD  1.0526e-02  7.734e-03    0  1.000 45.540  2.31 1.553e+04  99.0000 
OBS: 59843.3454 g WFD  4.2650e-03  4.729e-03    0  1.000 44.800  1.67 6.644e+03  99.0000 
OBS: 59851.3056 u WFD  1.0501e-02  2.458e-02    0  1.000 41.180  2.09 9.803e+02  99.0000 
OBS: 59854.3122 r WFD -9.4250e-03  5.100e-03    0  1.000 45.570  1.63 1.492e+04  99.0000 
OBS: 59857.3578 i WFD -3.5378e-03  1.146e-02    0  1.000 44.590  1.59 1.394e+04  99.0000 
OBS: 59859.2475 Y WFD -8.3188e-03  1.239e-01    0  1.000 42.500  2.32 1.507e+04  99.0000 
OBS: 59861.2539 Y WFD  1.6858e-02  5.263e-02    0  1.000 43.710  1.65 2.742e+04  99.0000 
OBS: 59869.2691 r WFD  8.9221e-03  9.567e-03    0  1.000 44.850  1.69 1.391e+04  99.0000 
OBS: 59874.2321 u WFD  5.0170e-03  2.411e-02    0  1.000 41.110  1.96 9.613e+02  99.0000 
OBS: 59875.2630 r WFD -1.1627e-02  7.899e-03    0  1.000 44.820  1.82 1.037e+04  99.0000 
OBS: 59877.2143 r WFD -3.9931e-03  1.018e-02    0  1.000 44.780  2.19 1.070e+04  99.0000 
OBS: 59887.1895 i WFD  2.2858e-02  1.821e-02    0  1.000 44.590  1.62 2.174e+04  99.0000 
OBS: 59897.2714 r WFD -1.0891e-02  1.056e-02    0  1.000 44.940  1.41 1.999e+04  99.0000 
