SURVEY:   LSST
SNID:     1217130
IAUC:     NULL
SNTYPE:   126
RA:       234.275473  # deg
DEC:      -14.541279  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1419 +- 0.0071  # MW E(B-V) 
PEAKMJD:  60189.773     # estimate for LC fit codes
MJD_TRIGGER:       60185.016  
MJD_DETECT_FIRST:  60184.031  
MJD_DETECT_LAST:   60185.016  

REDSHIFT_HELIO:   1.331796 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.332994 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9691235030  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3318  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          234.275415    # deg 
HOSTGAL_DEC:         -14.541276    # deg 
HOSTGAL_SNSEP:       0.080       # arcsec 
HOSTGAL_DDLR:        0.714       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.765 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.240
HOSTGAL_SQRADIUS:     7.496   # Ixx + Iyy
HOSTGAL_MAG:     27.45  27.05  26.17  25.25  24.43  23.83 # ugrizY
HOSTGAL_MAGERR:   0.52   0.11   0.06   0.04   0.04   0.05 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  710   # template index for SIMSED,NONIa
SIM_LIBID:           13131    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.33180  
SIM_REDSHIFT_CMB:    1.33299  
SIM_REDSHIFT_HOST:   1.27335  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9691235030 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.630 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.765 -9.000 
SIM_DLMU:            44.8713   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0157   # mag 
SIM_RA:              234.275467     # deg  
SIM_DEC:             -14.541279      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1445   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60189.773    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -230.51  # days 
SIM_TRESTMAX:        156.64  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.04  30.91  29.47  28.03  27.04  26.57  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 113 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59652.2709 Y WFD -6.8619e-02  8.886e-02    0  1.000 42.530  1.85 1.393e+04  99.0000 
OBS: 59653.2379 Y WFD -2.3254e-01  1.367e-01    0  1.000 42.500  2.56 1.506e+04  99.0000 
OBS: 59655.3405 Y WFD -3.9881e-03  3.865e-02    0  1.000 44.970  2.08 5.099e+04  99.0000 
OBS: 59657.4100 z WFD  6.0874e-02  9.244e-02    0  1.000 43.530  2.35 2.865e+04  99.0000 
OBS: 59675.2337 r WFD -5.2378e-03  9.550e-03    0  1.000 44.830  2.02 1.140e+04  99.0000 
OBS: 59681.2107 z WFD  6.3794e-03  2.097e-02    0  1.000 44.250  1.32 2.246e+04  99.0000 
OBS: 59709.2093 i WFD -2.0216e-03  1.973e-02    0  1.000 44.610  2.36 1.646e+04  99.0000 
OBS: 59710.1223 i WFD -3.4934e-02  1.952e-02    0  1.000 44.610  1.86 2.067e+04  99.0000 
OBS: 59711.0732 Y WFD  9.4268e-02  1.256e-01    0  1.000 42.500  2.32 1.527e+04  99.0000 
OBS: 59717.2846 z WFD -9.7210e-02  9.719e-02    0  1.000 43.520  2.72 2.579e+04  99.0000 
OBS: 59746.1897 z WFD  7.6389e-02  5.058e-02    0  1.000 43.530  1.79 2.058e+04  99.0000 
OBS: 59749.9705 z WFD -5.6022e-03  3.107e-02    0  1.000 44.220  1.97 2.169e+04  99.0000 
OBS: 59753.9555 z WFD  7.0517e-02  5.029e-02    0  1.000 43.480  1.82 1.922e+04  99.0000 
OBS: 59757.9581 z WFD -2.3852e-02  7.392e-02    0  1.000 43.480  2.97 1.731e+04  99.0000 
OBS: 59771.9905 Y WFD  9.6258e-02  5.032e-02    0  1.000 44.330  1.89 4.052e+04  99.0000 
OBS: 59773.0841 Y WFD -2.5845e-02  8.552e-02    0  1.000 42.590  1.57 1.669e+04  99.0000 
OBS: 59773.9997 z WFD  1.2556e-02  3.468e-02    0  1.000 44.290  1.74 2.924e+04  99.0000 
OBS: 59775.0387 z WFD  2.3577e-02  3.009e-02    0  1.000 44.700  2.03 3.172e+04  99.0000 
OBS: 59776.9709 z WFD -6.7891e-02  5.971e-02    0  1.000 43.500  3.00 1.410e+04  99.0000 
OBS: 59787.9712 z WFD  3.5286e-02  3.474e-02    0  1.000 43.520  1.75 1.433e+04  99.0000 
OBS: 59788.0833 r WFD -1.8888e-03  1.248e-02    0  1.000 44.840  2.58 1.177e+04  99.0000 
OBS: 59790.0795 g WFD -5.6395e-03  7.639e-03    0  1.000 44.840  2.41 7.716e+03  99.0000 
OBS: 59791.0059 u WFD  1.4465e-02  2.160e-02    0  1.000 41.390  1.97 1.110e+03  99.0000 
OBS: 59800.0721 Y WFD -2.0720e-01  8.114e-02    0  1.000 43.290  2.13 2.225e+04  99.0000 
OBS: 59801.0801 z WFD -1.6551e-02  1.947e-02    0  1.000 45.440  1.60 5.148e+04  99.0000 
OBS: 59808.0026 g WFD -2.0010e-03  4.654e-03    0  1.000 44.870  1.45 8.032e+03  99.0000 
OBS: 59809.0091 r WFD  1.3020e-02  7.624e-03    0  1.000 44.860  1.56 1.212e+04  99.0000 
OBS: 59819.0091 u WFD -3.3191e-02  2.811e-02    0  1.000 41.250  2.26 1.107e+03  99.0000 
OBS: 59979.3704 Y WFD -4.7562e-02  3.872e-02    0  1.000 44.300  1.42 4.037e+04  99.0000 
OBS: 59997.3409 u WFD  2.9603e-03  2.869e-02    0  1.000 41.220  2.33 1.066e+03  99.0000 
OBS: 59999.3305 g WFD -2.9388e-03  6.769e-03    0  1.000 44.850  2.09 7.956e+03  99.0000 
OBS: 60002.2953 r WFD -8.5316e-03  1.048e-02    0  1.000 44.800  2.03 1.211e+04  99.0000 
OBS: 60003.2835 i WFD  1.2056e-02  1.975e-02    0  1.000 44.550  2.27 1.622e+04  99.0000 
OBS: 60008.2732 Y WFD -5.4797e-02  1.071e-01    0  1.000 43.270  2.88 2.131e+04  99.0000 
