SURVEY:   LSST
SNID:     1067696
IAUC:     NULL
SNTYPE:   136
RA:       7.679193  # deg
DEC:      -36.165231  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0100 +- 0.0005  # MW E(B-V) 
PEAKMJD:  60680.340     # estimate for LC fit codes
MJD_TRIGGER:       60626.012  
MJD_DETECT_FIRST:  60623.043  
MJD_DETECT_LAST:   60670.047  

REDSHIFT_HELIO:   0.420905 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.419709 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8000368455  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4209  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          7.678979    # deg 
HOSTGAL_DEC:         -36.165204    # deg 
HOSTGAL_SNSEP:       0.316       # arcsec 
HOSTGAL_DDLR:        0.684       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.055 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.687
HOSTGAL_SQRADIUS:     17.409   # Ixx + Iyy
HOSTGAL_MAG:     25.08  24.51  23.47  23.00  22.74  22.55 # ugrizY
HOSTGAL_MAGERR:   0.18   0.02   0.01   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  719   # template index for SIMSED,NONIa
SIM_LIBID:           16697    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.42091  
SIM_REDSHIFT_CMB:    0.41971  
SIM_REDSHIFT_HOST:   0.41933  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8000368455 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.335 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.055 -9.000 
SIM_DLMU:            41.8098   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0081   # mag 
SIM_RA:              7.679193     # deg  
SIM_DEC:             -36.165230      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0098   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60680.340    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0423  # spectro-search efficiency 
SIM_TRESTMIN:        -640.31  # days 
SIM_TRESTMAX:        -7.24  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.76  23.48  23.37  23.38  23.42  23.44  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59771.2864 z WFD  2.5562e-02  3.404e-02    0  1.000 44.240  1.94 2.458e+04  99.0000 
OBS: 59772.4425 Y WFD  4.7781e-03  9.940e-02    0  1.000 42.610  1.77 1.753e+04  99.0000 
OBS: 59773.3190 Y WFD  3.0107e-02  3.215e-02    0  1.000 44.680  1.66 4.069e+04  99.0000 
OBS: 59774.4299 z WFD -5.2551e-02  5.106e-02    0  1.000 43.540  1.82 2.062e+04  99.0000 
OBS: 59775.4351 z WFD  6.6008e-02  4.818e-02    0  1.000 44.300  2.08 3.429e+04  99.0000 
OBS: 59776.4283 z WFD -8.3660e-02  7.690e-02    0  1.000 43.540  2.78 2.034e+04  99.0000 
OBS: 59779.2710 z WFD  4.2749e-03  3.201e-02    0  1.000 45.000  2.62 3.446e+04  99.0000 
OBS: 59779.3731 Y WFD  1.1734e-01  8.672e-02    0  1.000 42.600  2.01 1.334e+04  99.0000 
OBS: 59782.3550 g WFD  5.0688e-03  9.784e-03    0  1.000 44.920  2.96 8.661e+03  99.0000 
OBS: 59782.4287 Y WFD  2.4398e-03  9.368e-02    0  1.000 42.590  2.24 1.282e+04  99.0000 
OBS: 59783.2548 r WFD -1.2344e-02  8.504e-03    0  1.000 45.550  2.60 1.531e+04  99.0000 
OBS: 59796.2570 r WFD -6.1370e-04  1.145e-02    0  1.000 44.830  2.61 1.058e+04  99.0000 
OBS: 59802.2784 Y WFD -1.6724e-01  1.114e-01    0  1.000 42.610  2.16 1.610e+04  99.0000 
OBS: 59803.2277 Y WFD -6.4571e-02  7.052e-02    0  1.000 43.320  1.62 2.613e+04  99.0000 
OBS: 59804.3277 z WFD -2.4604e-02  3.577e-02    0  1.000 44.290  1.51 3.474e+04  99.0000 
OBS: 59806.3515 z WFD  9.1620e-03  2.205e-02    0  1.000 45.040  1.65 3.911e+04  99.0000 
OBS: 59809.3693 r WFD -1.6663e-02  1.099e-02    0  1.000 44.920  1.65 1.746e+04  99.0000 
OBS: 59810.2160 g WFD  1.1363e-03  6.831e-03    0  1.000 44.070  1.71 4.785e+03  99.0000 
OBS: 59810.4001 i WFD -1.6355e-02  1.247e-02    0  1.000 44.590  1.48 1.630e+04  99.0000 
OBS: 59813.1594 i WFD -2.1309e-02  1.540e-02    0  1.000 44.560  1.88 1.541e+04  99.0000 
OBS: 59818.1940 u WFD -4.1533e-02  1.782e-02    0  1.000 41.310  1.61 1.040e+03  99.0000 
OBS: 59819.2128 u WFD -1.9683e-02  3.637e-02    0  1.000 41.200  3.15 9.803e+02  99.0000 
OBS: 59821.1410 r WFD  1.3063e-02  1.273e-02    0  1.000 44.780  2.64 1.110e+04  99.0000 
OBS: 59822.1469 i WFD -1.5851e-02  1.690e-02    0  1.000 44.570  2.11 1.520e+04  99.0000 
OBS: 59823.1198 g WFD -5.5482e-04  8.832e-03    0  1.000 44.700  2.74 6.897e+03  99.0000 
OBS: 59844.0770 r WFD  7.1223e-03  1.032e-02    0  1.000 44.790  2.15 1.116e+04  99.0000 
OBS: 59850.0611 i WFD  8.7218e-03  1.943e-02    0  1.000 44.560  2.38 1.535e+04  99.0000 
OBS: 59851.1645 u WFD -1.3375e-03  2.771e-02    0  1.000 41.300  2.55 1.012e+03  99.0000 
OBS: 59856.0665 Y WFD -8.7760e-02  8.335e-02    0  1.000 42.550  1.78 1.383e+04  99.0000 
OBS: 59858.1454 z WFD  9.0198e-03  2.476e-02    0  1.000 44.280  1.38 2.608e+04  99.0000 
OBS: 59861.1252 Y WFD -5.9404e-02  9.230e-02    0  1.000 42.610  1.60 1.801e+04  99.0000 
OBS: 59863.1983 z WFD  3.1212e-02  3.014e-02    0  1.000 44.290  1.51 2.928e+04  99.0000 
OBS: 59866.1097 i WFD -2.2517e-04  1.348e-02    0  1.000 44.590  1.86 1.402e+04  99.0000 
OBS: 59869.9952 Y WFD  1.6258e-01  1.667e-01    0  1.000 42.530  2.37 2.040e+04  99.0000 
