SURVEY:   LSST
SNID:     1217890
IAUC:     NULL
SNTYPE:   126
RA:       235.122711  # deg
DEC:      -37.321128  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.2526 +- 0.0126  # MW E(B-V) 
PEAKMJD:  60058.551     # estimate for LC fit codes
MJD_TRIGGER:       60051.148  
MJD_DETECT_FIRST:  60041.340  
MJD_DETECT_LAST:   60502.973  

REDSHIFT_HELIO:   0.506648 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.507354 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6812792145  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5066  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          235.122559    # deg 
HOSTGAL_DEC:         -37.320730    # deg 
HOSTGAL_SNSEP:       0.751       # arcsec 
HOSTGAL_DDLR:        1.015       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.428 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.177
HOSTGAL_SQRADIUS:     19.653   # Ixx + Iyy
HOSTGAL_MAG:     25.25  23.75  22.13  21.30  20.82  20.55 # ugrizY
HOSTGAL_MAGERR:   0.06   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  710   # template index for SIMSED,NONIa
SIM_LIBID:           13891    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.50665  
SIM_REDSHIFT_CMB:    0.50735  
SIM_REDSHIFT_HOST:   0.47762  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6812792145 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.256 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.428 -9.000 
SIM_DLMU:            42.2982   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0010   # mag 
SIM_RA:              235.122711     # deg  
SIM_DEC:             -37.321129      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.2436   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60058.551    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -272.89  # days 
SIM_TRESTMAX:        337.49  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.68  26.53  24.94  24.39  24.17  24.11  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59647.4067 z WFD -9.0438e-03  5.023e-02    0  1.000 43.540  1.53 2.414e+04  99.0000 
OBS: 59652.2881 Y WFD -1.7515e-02  8.810e-02    0  1.000 42.570  2.04 1.299e+04  99.0000 
OBS: 59653.2285 Y WFD  9.2348e-02  1.137e-01    0  1.000 42.510  2.21 1.464e+04  99.0000 
OBS: 59654.2435 Y WFD  4.0871e-02  6.430e-02    0  1.000 43.740  2.22 2.560e+04  99.0000 
OBS: 59665.3643 g WFD  8.3585e-04  6.537e-03    0  1.000 44.910  2.01 8.443e+03  99.0000 
OBS: 59675.1904 r WFD -1.2800e-02  8.355e-03    0  1.000 44.810  1.75 1.131e+04  99.0000 
OBS: 59676.3891 i WFD  8.9603e-03  1.652e-02    0  1.000 44.580  2.16 1.465e+04  99.0000 
OBS: 59679.1496 z WFD -1.2409e-02  3.193e-02    0  1.000 44.240  2.03 2.203e+04  99.0000 
OBS: 59683.1410 Y WFD -2.6487e-02  3.888e-02    0  1.000 44.020  1.46 3.047e+04  99.0000 
OBS: 59684.1778 Y WFD  3.7204e-02  7.667e-02    0  1.000 42.560  1.47 1.555e+04  99.0000 
OBS: 59685.1930 Y WFD  1.3022e-01  8.058e-02    0  1.000 42.590  1.45 1.703e+04  99.0000 
OBS: 59686.2918 Y WFD  1.1940e-01  8.826e-02    0  1.000 42.610  1.52 1.813e+04  99.0000 
OBS: 59690.4193 z WFD -6.9755e-03  4.597e-02    0  1.000 43.490  1.45 2.226e+04  99.0000 
OBS: 59703.1518 u WFD -6.9853e-03  1.581e-02    0  1.000 41.350  1.43 1.078e+03  99.0000 
OBS: 59713.1748 Y WFD -1.8082e-01  7.351e-02    0  1.000 43.360  2.06 2.223e+04  99.0000 
OBS: 59718.3441 z WFD -8.7722e-03  3.849e-02    0  1.000 44.680  2.16 3.744e+04  99.0000 
OBS: 59748.1787 i WFD -8.5256e-03  1.753e-02    0  1.000 44.620  1.65 2.111e+04  99.0000 
OBS: 59758.9632 z WFD -3.5414e-02  3.532e-02    0  1.000 43.500  1.68 1.490e+04  99.0000 
OBS: 59762.9642 z WFD -4.8911e-02  3.612e-02    0  1.000 43.490  1.73 1.466e+04  99.0000 
OBS: 59773.1792 Y WFD  1.4508e-01  8.813e-02    0  1.000 43.300  2.03 2.559e+04  99.0000 
OBS: 59776.1329 i WFD -5.4085e-02  3.086e-02    0  1.000 44.620  2.56 2.396e+04  99.0000 
OBS: 59780.9600 z WFD -4.8603e-02  4.194e-02    0  1.000 44.280  2.09 2.917e+04  99.0000 
OBS: 59784.9634 z WFD  5.2824e-03  5.641e-02    0  1.000 43.530  2.33 1.764e+04  99.0000 
OBS: 59787.0786 r WFD -9.7767e-03  9.847e-03    0  1.000 45.600  3.10 1.557e+04  99.0000 
OBS: 59790.0090 g WFD -2.9367e-03  6.016e-03    0  1.000 45.620  3.00 1.001e+04  99.0000 
OBS: 59800.0645 Y WFD  4.3065e-02  7.218e-02    0  1.000 43.320  1.93 2.245e+04  99.0000 
OBS: 59801.1311 z WFD -1.7591e-02  6.269e-02    0  1.000 43.480  1.88 2.320e+04  99.0000 
OBS: 59802.0902 Y WFD  6.1356e-03  3.469e-02    0  1.000 44.800  1.77 4.599e+04  99.0000 
OBS: 59964.3689 z WFD -9.3482e-02  5.764e-02    0  1.000 43.490  2.09 1.936e+04  99.0000 
OBS: 59966.3656 z WFD  2.8424e-02  3.575e-02    0  1.000 44.240  1.91 2.622e+04  99.0000 
OBS: 59978.3761 z WFD  4.4133e-02  2.954e-02    0  1.000 43.500  1.33 1.574e+04  99.0000 
OBS: 59985.3643 i WFD -6.3299e-02  2.902e-02    0  1.000 43.860  1.61 1.779e+04  99.0000 
OBS: 59986.3824 z WFD  1.6945e-02  2.818e-02    0  1.000 44.720  1.75 3.510e+04  99.0000 
OBS: 59987.3815 z WFD  2.3216e-02  2.565e-02    0  1.000 45.030  1.90 3.915e+04  99.0000 
