SURVEY:   LSST
SNID:     1205134
IAUC:     NULL
SNTYPE:   126
RA:       229.051958  # deg
DEC:      -37.554830  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0981 +- 0.0049  # MW E(B-V) 
PEAKMJD:  59689.453     # estimate for LC fit codes
MJD_TRIGGER:       59675.160  
MJD_DETECT_FIRST:  59665.363  
MJD_DETECT_LAST:   60025.375  

REDSHIFT_HELIO:   0.916014 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.917088 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10501682157  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.9160  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          229.051984    # deg 
HOSTGAL_DEC:         -37.554801    # deg 
HOSTGAL_SNSEP:       0.065       # arcsec 
HOSTGAL_DDLR:        0.268       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.823 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.037
HOSTGAL_SQRADIUS:     9.571   # Ixx + Iyy
HOSTGAL_MAG:     26.77  26.03  24.56  23.50  22.77  22.53 # ugrizY
HOSTGAL_MAGERR:   0.39   0.07   0.02   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      26  # true GENTYPE 
SIM_TYPE_NAME:       Ic 
SIM_TEMPLATE_INDEX:  723   # template index for SIMSED,NONIa
SIM_LIBID:           1133    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.91601  
SIM_REDSHIFT_CMB:    0.91709  
SIM_REDSHIFT_HOST:   0.89520  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10501682157 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.941 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.823 -9.000 
SIM_DLMU:            43.8668   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0035   # mag 
SIM_RA:              229.051956     # deg  
SIM_DEC:             -37.554829      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0965   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59689.453    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -25.12  # days 
SIM_TRESTMAX:        448.10  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.70  28.24  27.24  25.98  25.49  25.32  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 123 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59641.2955 u WFD  3.4294e-02  2.866e-02    0  1.000 41.260  2.48 1.037e+03  99.0000 
OBS: 59647.3990 z WFD -2.9387e-02  3.467e-02    0  1.000 43.520  1.68 1.489e+04  99.0000 
OBS: 59652.2874 Y WFD  3.7072e-02  6.062e-02    0  1.000 43.320  2.01 1.810e+04  99.0000 
OBS: 59653.2526 Y WFD  5.3175e-03  7.090e-02    0  1.000 43.300  2.12 1.971e+04  99.0000 
OBS: 59654.2244 Y WFD -2.7247e-02  7.968e-02    0  1.000 43.290  2.22 2.096e+04  99.0000 
OBS: 59665.3648 g WFD  3.4520e-01  6.528e-03 4096  1.000 44.910  2.02 8.386e+03  28.6507 
OBS: 59675.1616 r WFD  1.7457e+00  9.693e-03 6144  1.000 44.800  2.01 1.130e+04  26.8946 
OBS: 59676.3882 i WFD  3.4898e+00  1.721e-02 4096  1.000 44.580  2.22 1.484e+04  26.1476 
OBS: 59679.1890 z WFD  6.1374e+00  2.479e-02 4096  1.000 45.230  2.01 4.299e+04  25.5341 
OBS: 59683.1288 Y WFD  7.1369e+00  5.872e-02 4096  1.000 43.270  1.55 2.171e+04  25.3747 
OBS: 59684.1724 Y WFD  7.1391e+00  7.441e-02 4096  1.000 42.580  1.44 1.568e+04  25.3673 
OBS: 59685.1921 Y WFD  7.1883e+00  7.378e-02 4096  1.000 42.590  1.32 1.712e+04  25.3582 
OBS: 59686.3511 Y WFD  7.3404e+00  7.600e-02 4096  1.000 43.320  1.50 3.041e+04  25.3479 
OBS: 59690.1827 i WFD  3.9822e+00  1.729e-02 4096  1.000 44.630  1.38 2.511e+04  25.9961 
OBS: 59713.1720 Y WFD  3.6895e+00  9.884e-02 4096  1.000 42.610  1.92 1.607e+04  26.1065 
OBS: 59717.2806 z WFD  2.1054e+00  3.179e-02 4096  1.000 45.470  2.47 5.596e+04  26.6934 
OBS: 59718.3353 z WFD  1.9389e+00  4.751e-02 4096  1.000 44.240  2.24 2.971e+04  26.7476 
OBS: 59748.1989 i WFD  3.6853e-01  1.360e-02 4096  1.000 45.360  1.75 3.053e+04  28.5900 
OBS: 59750.9667 z WFD  8.4244e-01  4.112e-02 4096  1.000 43.490  1.99 1.451e+04  27.6894 
OBS: 59758.9637 z WFD  7.0297e-01  3.430e-02 4096  1.000 43.490  1.65 1.459e+04  27.8051 
OBS: 59762.9633 z WFD  7.7868e-01  3.418e-02 4096  1.000 43.510  1.68 1.455e+04  27.8098 
OBS: 59776.1338 i WFD  3.5521e-01  3.083e-02 4096  1.000 44.610  2.51 2.419e+04  28.6673 
OBS: 59780.9616 z WFD  7.0136e-01  4.937e-02 4096  1.000 43.530  1.97 1.825e+04  27.9285 
OBS: 59784.9671 z WFD  6.7422e-01  4.748e-02 4096  1.000 43.520  2.30 1.490e+04  27.9389 
OBS: 59787.0622 r WFD  9.7042e-02  1.436e-02 4096  1.000 44.820  3.14 1.093e+04  30.3145 
OBS: 59790.0075 g WFD  2.2977e-02  8.740e-03    0  1.000 44.860  3.07 7.058e+03  32.0341 
OBS: 59800.0650 Y WFD  9.6380e-01  7.618e-02 4096  1.000 43.300  2.01 2.234e+04  27.5912 
OBS: 59802.0646 Y WFD  9.2919e-01  4.676e-02 4096  1.000 44.050  1.74 3.160e+04  27.5952 
OBS: 59806.0469 r WFD  8.6534e-02  1.493e-02    0  1.000 44.070  2.21 8.089e+03  30.3587 
OBS: 59810.0375 r WFD  8.1936e-02  7.219e-03 4096  1.000 44.820  1.49 1.158e+04  30.3534 
OBS: 59818.0114 u WFD -9.8201e-03  2.018e-02    0  1.000 41.260  1.70 1.066e+03  32.9736 
OBS: 59964.3678 z WFD  1.1893e-01  3.398e-02    0  1.000 44.250  1.89 2.542e+04  29.3831 
OBS: 59966.3641 z WFD  1.5440e-01  3.184e-02 4096  1.000 44.250  1.84 2.447e+04  29.4071 
OBS: 59968.3719 z WFD  1.6009e-01  5.411e-02    0  1.000 43.510  2.16 1.791e+04  29.4002 
