SURVEY:   LSST
SNID:     1110398
IAUC:     NULL
SNTYPE:   132
RA:       211.659960  # deg
DEC:      -8.473463  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0293 +- 0.0015  # MW E(B-V) 
PEAKMJD:  59794.176     # estimate for LC fit codes
MJD_TRIGGER:       59789.980  
MJD_DETECT_FIRST:  59789.047  
MJD_DETECT_LAST:   59812.984  

REDSHIFT_HELIO:   1.367259 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.369385 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10377166975  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3673  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          211.659845    # deg 
HOSTGAL_DEC:         -8.473645    # deg 
HOSTGAL_SNSEP:       0.362       # arcsec 
HOSTGAL_DDLR:        0.858       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.260 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.445
HOSTGAL_SQRADIUS:     16.121   # Ixx + Iyy
HOSTGAL_MAG:     24.31  24.27  24.27  24.10  23.77  23.51 # ugrizY
HOSTGAL_MAGERR:   0.08   0.02   0.02   0.02   0.02   0.05 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      32  # true GENTYPE 
SIM_TYPE_NAME:       IIP 
SIM_TEMPLATE_INDEX:  711   # template index for SIMSED,NONIa
SIM_LIBID:           8399    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.36726  
SIM_REDSHIFT_CMB:    1.36939  
SIM_REDSHIFT_HOST:   1.34877  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10377166975 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     1.446 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.260 -9.000 
SIM_DLMU:            44.9427   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0326   # mag 
SIM_RA:              211.659958     # deg  
SIM_DEC:             -8.473463      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0287   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59794.176    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -59.97  # days 
SIM_TRESTMAX:        303.25  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.67  26.51  26.01  26.13  26.69  26.78  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59652.2074 Y WFD -4.0833e-02  5.622e-02    0  1.000 43.720  1.94 2.515e+04  99.0000 
OBS: 59653.1927 Y WFD -1.2092e-01  1.124e-01    0  1.000 42.520  2.13 1.516e+04  99.0000 
OBS: 59655.3285 Y WFD  4.2450e-02  7.387e-02    0  1.000 43.750  2.38 2.769e+04  99.0000 
OBS: 59678.1516 z WFD -3.4722e-02  3.488e-02    0  1.000 44.240  2.36 2.070e+04  99.0000 
OBS: 59681.1433 z WFD  1.1688e-03  2.366e-02    0  1.000 44.250  1.40 2.389e+04  99.0000 
OBS: 59689.3384 z WFD -4.2826e-02  4.974e-02    0  1.000 43.480  1.60 2.163e+04  99.0000 
OBS: 59699.2204 i WFD  9.1130e-04  1.568e-02    0  1.000 44.590  2.01 1.508e+04  99.0000 
OBS: 59709.1012 i WFD -2.8528e-03  1.310e-02    0  1.000 45.360  1.91 2.696e+04  99.0000 
OBS: 59710.1700 i WFD  1.1896e-02  1.377e-02    0  1.000 45.380  1.75 3.150e+04  99.0000 
OBS: 59716.0949 Y WFD  7.0979e-02  4.886e-02    0  1.000 44.830  2.27 5.192e+04  99.0000 
OBS: 59718.2053 i WFD -1.5197e-02  2.384e-02    0  1.000 45.050  2.31 3.048e+04  99.0000 
OBS: 59750.9505 z WFD  1.6730e-02  7.519e-02    0  1.000 43.520  2.17 2.501e+04  99.0000 
OBS: 59752.9604 z WFD -2.6208e-02  2.985e-02    0  1.000 44.260  1.49 2.859e+04  99.0000 
OBS: 59753.9664 z WFD -8.3700e-03  3.049e-02    0  1.000 43.500  1.51 1.431e+04  99.0000 
OBS: 59771.0910 z WFD  2.4891e-02  3.872e-02    0  1.000 44.690  2.08 3.947e+04  99.0000 
OBS: 59772.1033 Y WFD  2.6583e-01  1.131e-01    0  1.000 42.520  1.95 1.667e+04  99.0000 
OBS: 59780.9747 z WFD -5.1052e-02  3.582e-02    0  1.000 43.500  1.81 1.402e+04  99.0000 
OBS: 59789.0451 r WFD  1.9279e+00  1.662e-02 4096  1.000 44.800  3.07 1.270e+04  26.7673 
OBS: 59789.9822 z WFD  1.3092e+00  5.265e-02 6144  1.000 43.500  2.61 1.429e+04  27.2634 
OBS: 59790.0422 g WFD  1.8107e+00  1.120e-02 4096  1.000 44.780  3.13 8.238e+03  26.8571 
OBS: 59791.0207 u WFD  7.2093e-01  2.771e-02 4096  1.000 41.180  2.14 1.078e+03  27.8820 
OBS: 59806.9980 g WFD  9.3752e-01  8.450e-03 4096  1.000 44.800  2.23 8.883e+03  27.5597 
OBS: 59811.9994 g WFD  5.8650e-01  1.095e-02 4096  1.000 44.000  1.93 6.369e+03  28.0696 
OBS: 59812.9857 Y WFD  2.4507e+00  1.120e-01 4096  1.000 42.490  2.14 1.463e+04  26.5425 
OBS: 59950.3644 Y WFD  2.3286e-01  1.997e-01    0  1.000 42.510  2.25 2.526e+04  28.5937 
OBS: 59956.3620 z WFD  1.4464e-01  5.077e-02    0  1.000 44.250  1.97 3.644e+04  29.8939 
OBS: 59968.3385 u WFD -1.6485e-02  3.534e-02    0  1.000 41.140  2.69 1.056e+03  34.4578 
OBS: 59972.3687 Y WFD  2.5244e-01  9.000e-02    0  1.000 42.580  1.97 1.387e+04  28.8580 
OBS: 59978.3295 i WFD  4.0013e-02  1.353e-02    0  1.000 44.600  1.39 1.900e+04  31.2294 
OBS: 59979.3261 Y WFD  2.3189e-01  6.188e-02    0  1.000 42.560  1.26 1.464e+04  28.9857 
OBS: 59980.3020 Y WFD  2.3665e-01  6.296e-02    0  1.000 43.280  1.63 2.235e+04  29.0097 
OBS: 59991.3806 z WFD  4.6156e-02  3.649e-02    0  1.000 43.500  1.83 1.413e+04  30.4260 
OBS: 59993.3711 r WFD  2.1736e-02  1.177e-02    0  1.000 44.100  1.78 8.143e+03  32.3348 
OBS: 59995.3202 r WFD  1.3391e-02  5.009e-03    0  1.000 45.600  1.50 1.637e+04  32.2762 
