SURVEY:   LSST
SNID:     2011302
IAUC:     NULL
SNTYPE:   140
RA:       240.904500  # deg
DEC:      -10.547628  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.2361 +- 0.0118  # MW E(B-V) 
PEAKMJD:  60566.777     # estimate for LC fit codes
MJD_TRIGGER:       60539.043  
MJD_DETECT_FIRST:  60530.066  
MJD_DETECT_LAST:   60554.023  

REDSHIFT_HELIO:   1.514098 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.515054 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9817676809  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.5141  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          240.904499    # deg 
HOSTGAL_DEC:         -10.547658    # deg 
HOSTGAL_SNSEP:       0.055       # arcsec 
HOSTGAL_DDLR:        0.355       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.702 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.610
HOSTGAL_SQRADIUS:     14.587   # Ixx + Iyy
HOSTGAL_MAG:     27.74  27.48  27.13  26.67  26.31  25.53 # ugrizY
HOSTGAL_MAGERR:   2.61   0.15   0.11   0.19   0.18   0.21 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  968   # template index for SIMSED,NONIa
SIM_LIBID:           11301    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.51410  
SIM_REDSHIFT_CMB:    1.51506  
SIM_REDSHIFT_HOST:   1.50168  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9817676809 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.412 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.702 -9.000 
SIM_DLMU:            45.2150   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0306   # mag 
SIM_RA:              240.904495     # deg  
SIM_DEC:             -10.547627      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.2361   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60566.777    #  true PEAKMJD, days 
SIM_SALT2x0:         8.2036e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3571  # spectro-search efficiency 
SIM_TRESTMIN:        -362.53  # days 
SIM_TRESTMAX:        -5.07  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    968.000000
SIMSED_param(bfield):    0.550734
SIMSED_param(mns):    1.765629
SIMSED_param(pspin):    3.045560
SIMSED_param(kappa):    0.149479
SIMSED_param(kappagamma):    8.312366
SIMSED_param(mej):    1.050888
SIMSED_param(temp):    6374.569336
SIMSED_param(vej):    13982.048828

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.60  23.55  22.79  22.45  22.36  22.38  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 115 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59655.3407 Y WFD -2.2675e-02  4.688e-02    0  1.000 44.320  2.15 3.288e+04  99.0000 
OBS: 59656.4019 z WFD  1.3186e-02  7.626e-02    0  1.000 43.530  2.67 2.080e+04  99.0000 
OBS: 59657.4032 z WFD  2.0420e-02  7.172e-02    0  1.000 43.530  2.32 2.252e+04  99.0000 
OBS: 59667.4170 z WFD  2.9494e-02  1.051e-01    0  1.000 43.520  2.69 2.821e+04  99.0000 
OBS: 59676.3479 i WFD -3.1863e-02  1.321e-02    0  1.000 44.580  1.73 1.463e+04  99.0000 
OBS: 59680.2293 i WFD -1.5218e-02  1.475e-02    0  1.000 44.570  1.69 1.657e+04  99.0000 
OBS: 59681.2030 z WFD -5.4600e-03  2.326e-02    0  1.000 44.240  1.40 2.328e+04  99.0000 
OBS: 59694.1639 g WFD  1.4532e-02  7.489e-03    0  1.000 44.750  2.30 7.295e+03  99.0000 
OBS: 59710.2399 i WFD  3.0700e-03  1.465e-02    0  1.000 44.610  1.62 1.782e+04  99.0000 
OBS: 59711.1402 Y WFD -3.1380e-02  6.890e-02    0  1.000 43.300  1.99 2.041e+04  99.0000 
OBS: 59763.1664 u WFD -6.1929e-02  3.722e-02    0  1.000 41.160  3.02 1.009e+03  99.0000 
OBS: 59766.9591 Y WFD -6.1562e-02  9.265e-02    0  1.000 43.270  2.20 2.414e+04  99.0000 
OBS: 59767.9570 Y WFD  5.0899e-02  9.403e-02    0  1.000 43.720  2.36 3.457e+04  99.0000 
OBS: 59773.0175 Y WFD  2.2781e-02  4.575e-02    0  1.000 44.520  1.84 4.508e+04  99.0000 
OBS: 59774.0873 z WFD  2.0112e-02  2.019e-02    0  1.000 45.790  1.91 6.172e+04  99.0000 
OBS: 59776.9682 z WFD -2.7191e-02  6.474e-02    0  1.000 43.490  3.11 1.462e+04  99.0000 
OBS: 59780.1116 r WFD  8.5929e-03  9.649e-03    0  1.000 44.840  2.04 1.151e+04  99.0000 
OBS: 59787.9734 z WFD  2.5942e-02  2.781e-02    0  1.000 44.260  1.89 2.099e+04  99.0000 
OBS: 59800.0750 Y WFD  1.3328e-01  1.137e-01    0  1.000 42.560  2.09 1.621e+04  99.0000 
OBS: 59801.0946 z WFD -1.8991e-02  3.252e-02    0  1.000 44.250  1.52 3.025e+04  99.0000 
OBS: 59808.0026 g WFD  2.4486e-03  4.491e-03    0  1.000 44.860  1.46 7.627e+03  99.0000 
OBS: 59809.0369 r WFD  8.3323e-03  7.418e-03    0  1.000 44.830  1.50 1.193e+04  99.0000 
OBS: 59813.0697 r WFD  6.8151e-03  1.723e-02    0  1.000 44.040  2.31 8.693e+03  99.0000 
OBS: 59819.0033 u WFD -2.5844e-02  2.835e-02    0  1.000 41.230  2.31 1.072e+03  99.0000 
OBS: 59820.0183 i WFD  9.5479e-03  1.562e-02    0  1.000 44.570  1.87 1.586e+04  99.0000 
OBS: 59979.3689 Y WFD -3.0137e-02  7.882e-02    0  1.000 42.520  1.48 1.530e+04  99.0000 
OBS: 59997.3425 u WFD  1.5883e-02  2.269e-02    0  1.000 41.890  2.47 1.474e+03  99.0000 
OBS: 60000.3241 g WFD  9.9900e-03  6.617e-03    0  1.000 44.770  1.95 7.744e+03  99.0000 
OBS: 60002.3283 r WFD -2.2247e-03  9.879e-03    0  1.000 44.810  1.94 1.206e+04  99.0000 
OBS: 60008.3058 Y WFD  5.2364e-03  6.499e-02    0  1.000 44.040  2.54 2.981e+04  99.0000 
OBS: 60008.4002 z WFD  3.1729e-02  3.558e-02    0  1.000 44.270  2.05 2.499e+04  99.0000 
OBS: 60009.3186 Y WFD -7.0280e-02  8.347e-02    0  1.000 43.290  2.28 2.138e+04  99.0000 
OBS: 60011.3153 Y WFD -2.1566e-02  1.300e-01    0  1.000 42.560  2.41 1.608e+04  99.0000 
OBS: 60019.3749 i WFD  1.2016e-02  1.118e-02    0  1.000 45.350  1.93 2.256e+04  99.0000 
OBS: 60020.3800 r WFD -6.5272e-03  6.306e-03    0  1.000 45.300  1.59 1.475e+04  99.0000 
OBS: 60021.3466 g WFD  5.0933e-03  5.091e-03    0  1.000 44.860  1.63 7.744e+03  99.0000 
OBS: 60027.2465 u WFD -2.4271e-02  2.610e-02    0  1.000 41.070  1.98 9.930e+02  99.0000 
OBS: 60029.2513 i WFD  1.0975e-02  9.794e-03    0  1.000 45.320  1.67 2.222e+04  99.0000 
OBS: 60032.2962 i WFD  7.4112e-03  6.963e-03    0  1.000 45.330  1.25 2.129e+04  99.0000 
OBS: 60038.2375 Y WFD -8.6169e-02  5.602e-02    0  1.000 44.060  2.16 3.078e+04  99.0000 
