SURVEY:   LSST
SNID:     1172680
IAUC:     NULL
SNTYPE:   121
RA:       246.537313  # deg
DEC:      -18.196977  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.3809 +- 0.0190  # MW E(B-V) 
PEAKMJD:  59629.398     # estimate for LC fit codes
MJD_TRIGGER:       59668.410  
MJD_DETECT_FIRST:  59657.406  
MJD_DETECT_LAST:   59773.066  

REDSHIFT_HELIO:   1.160246 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.160844 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10565879975  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1602  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          246.537279    # deg 
HOSTGAL_DEC:         -18.196994    # deg 
HOSTGAL_SNSEP:       0.056       # arcsec 
HOSTGAL_DDLR:        0.273       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.742 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.667
HOSTGAL_SQRADIUS:     18.158   # Ixx + Iyy
HOSTGAL_MAG:     30.30  28.90  26.85  25.55  24.47  23.80 # ugrizY
HOSTGAL_MAGERR:  26.62   0.33   0.08   0.04   0.03   0.04 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  718   # template index for SIMSED,NONIa
SIM_LIBID:           19681    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.16025  
SIM_REDSHIFT_CMB:    1.16085  
SIM_REDSHIFT_HOST:   1.21610  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10565879975 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.480 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.742 -9.000 
SIM_DLMU:            44.5003   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0732   # mag 
SIM_RA:              246.537308     # deg  
SIM_DEC:             -18.196976      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.4079   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59629.398    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        12.96  # days 
SIM_TRESTMAX:        434.05  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   33.20  31.67  29.42  27.88  26.75  26.51  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 112 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59657.4046 z WFD  7.1602e-01  6.681e-02 4096  1.000 43.540  2.25 2.183e+04  27.7769 
OBS: 59668.4102 z WFD  5.3332e-01  6.819e-02 6144  1.000 43.510  3.08 1.583e+04  28.2955 
OBS: 59676.3479 i WFD  1.1280e-01  1.256e-02 4096  1.000 44.600  1.68 1.458e+04  29.7933 
OBS: 59681.2546 z WFD  3.5249e-01  1.876e-02 4096  1.000 44.260  1.25 2.141e+04  28.7350 
OBS: 59694.1652 g WFD  6.6533e-03  7.345e-03    0  1.000 44.760  2.26 7.349e+03  34.0493 
OBS: 59709.2286 i WFD  5.9840e-02  1.586e-02    0  1.000 44.610  2.03 1.538e+04  30.9930 
OBS: 59711.1235 Y WFD  4.6277e-01  5.713e-02 4096  1.000 43.720  1.96 2.529e+04  28.3095 
OBS: 59746.1126 z WFD  1.4664e-01  3.061e-02 4096  1.000 44.290  1.44 3.118e+04  29.4315 
OBS: 59748.2711 i WFD  6.4180e-02  2.415e-02    0  1.000 45.030  2.43 2.882e+04  32.4411 
OBS: 59763.1682 u WFD  2.1892e-02  3.370e-02    0  1.000 41.250  2.89 1.037e+03  37.1813 
OBS: 59766.9642 Y WFD  4.2518e-01  8.719e-02    0  1.000 43.720  2.23 3.393e+04  28.5178 
OBS: 59767.9762 Y WFD  2.8611e-01  8.388e-02 4096  1.000 43.730  2.28 3.222e+04  28.5219 
OBS: 59773.0649 Y WFD  3.8046e-01  4.631e-02 4096  1.000 44.530  1.88 4.507e+04  28.5425 
OBS: 59774.1024 z WFD  1.1005e-01  2.201e-02    0  1.000 45.780  1.93 6.598e+04  29.7266 
OBS: 59775.2126 z WFD  5.6215e-02  6.897e-02    0  1.000 43.480  2.21 2.171e+04  29.7384 
OBS: 59776.1570 i WFD  1.8437e-02  3.703e-02    0  1.000 43.860  2.11 1.733e+04  33.2519 
OBS: 59788.1294 r WFD  1.5488e-02  2.151e-02    0  1.000 44.070  3.15 8.181e+03  35.7351 
OBS: 59793.1211 r WFD  8.6750e-03  1.310e-02    0  1.000 44.810  2.66 1.166e+04  35.8239 
OBS: 59801.0698 z WFD  7.5677e-02  3.140e-02    0  1.000 44.280  1.50 3.042e+04  29.9979 
OBS: 59809.0348 r WFD -1.1736e-02  6.832e-03    0  1.000 44.850  1.42 1.182e+04  36.0224 
OBS: 59819.0125 u WFD  5.3440e-03  1.748e-02    0  1.000 42.070  2.11 1.568e+03  37.8502 
OBS: 59842.0044 r WFD  4.5107e-03  1.201e-02    0  1.000 44.830  2.15 1.347e+04  36.1634 
OBS: 59980.3652 Y WFD  7.5403e-02  5.324e-02    0  1.000 43.690  1.63 2.757e+04  30.4704 
OBS: 59997.3308 u WFD  3.5535e-02  2.212e-02    0  1.000 41.840  2.28 1.486e+03  37.0982 
OBS: 60000.3239 g WFD -1.3357e-03  7.054e-03    0  1.000 44.780  1.97 8.247e+03  36.2692 
OBS: 60002.3308 r WFD  3.4564e-03  1.114e-02    0  1.000 44.820  2.12 1.255e+04  35.3015 
OBS: 60004.4001 z WFD  7.2024e-02  3.932e-02    0  1.000 43.540  1.41 2.050e+04  31.8614 
OBS: 60008.2974 Y WFD -8.7275e-02  1.412e-01    0  1.000 42.520  2.66 1.525e+04  30.7704 
OBS: 60009.2962 Y WFD -3.4684e-02  1.257e-01    0  1.000 42.520  2.31 1.563e+04  30.7811 
OBS: 60022.3300 g WFD  8.1955e-04  5.056e-03    0  1.000 44.860  1.64 7.643e+03  36.3710 
OBS: 60023.3426 r WFD  1.9982e-03  5.714e-03    0  1.000 44.850  1.21 1.160e+04  35.3987 
OBS: 60027.2452 u WFD  4.5744e-02  2.645e-02    0  1.000 41.080  2.00 1.006e+03  37.2367 
OBS: 60029.2513 i WFD  1.9972e-03  1.404e-02    0  1.000 44.560  1.67 1.581e+04  33.8070 
OBS: 60031.2639 r WFD -8.2476e-03  6.691e-03    0  1.000 44.820  1.37 1.167e+04  35.4354 
