SURVEY:   LSST
SNID:     1069280
IAUC:     NULL
SNTYPE:   136
RA:       20.827794  # deg
DEC:      -39.144048  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0173 +- 0.0009  # MW E(B-V) 
PEAKMJD:  60268.848     # estimate for LC fit codes
MJD_TRIGGER:       60160.312  
MJD_DETECT_FIRST:  60158.270  
MJD_DETECT_LAST:   60487.410  

REDSHIFT_HELIO:   1.146768 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.145259 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7815036182  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1468  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          20.827856    # deg 
HOSTGAL_DEC:         -39.143894    # deg 
HOSTGAL_SNSEP:       0.291       # arcsec 
HOSTGAL_DDLR:        2.031       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.405 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.159
HOSTGAL_SQRADIUS:     8.591   # Ixx + Iyy
HOSTGAL_MAG:     25.12  25.31  24.85  24.29  23.66  23.44 # ugrizY
HOSTGAL_MAGERR:   0.14   0.04   0.03   0.02   0.02   0.04 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  719   # template index for SIMSED,NONIa
SIM_LIBID:           18281    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.14677  
SIM_REDSHIFT_CMB:    1.14526  
SIM_REDSHIFT_HOST:   1.11559  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7815036182 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.037 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.405 -9.000 
SIM_DLMU:            44.4661   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0222   # mag 
SIM_RA:              20.827795     # deg  
SIM_DEC:             -39.144047      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0160   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60268.848    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -226.81  # days 
SIM_TRESTMAX:        186.09  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.92  26.29  25.84  25.70  25.61  25.60  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 145 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59782.2799 Y WFD  3.7015e-02  1.016e-01    0  1.000 42.510  2.11 1.371e+04  99.0000 
OBS: 59782.3550 g WFD  4.8196e-03  1.047e-02    0  1.000 44.880  3.07 8.614e+03  99.0000 
OBS: 59783.4125 r WFD -7.9226e-03  8.181e-03    0  1.000 44.860  1.89 1.073e+04  99.0000 
OBS: 59786.4304 z WFD  3.6879e-02  5.535e-02    0  1.000 43.510  2.90 1.365e+04  99.0000 
OBS: 59791.4400 z WFD  3.5161e-03  5.998e-02    0  1.000 43.540  1.87 2.358e+04  99.0000 
OBS: 59793.3118 i WFD -1.6361e-02  1.887e-02    0  1.000 44.580  2.54 1.423e+04  99.0000 
OBS: 59796.2615 r WFD -9.0555e-03  1.243e-02    0  1.000 44.800  2.73 1.068e+04  99.0000 
OBS: 59799.2891 z WFD  1.2338e-02  1.856e-02    0  1.000 45.010  1.72 3.072e+04  99.0000 
OBS: 59800.3730 Y WFD -2.3553e-02  4.804e-02    0  1.000 43.340  1.61 1.825e+04  99.0000 
OBS: 59802.3250 Y WFD  4.4550e-02  5.644e-02    0  1.000 43.780  1.96 2.641e+04  99.0000 
OBS: 59803.3007 Y WFD  1.0072e-01  4.873e-02    0  1.000 43.790  1.60 2.819e+04  99.0000 
OBS: 59804.3885 z WFD -4.8606e-02  1.602e-02    0  1.000 45.650  1.41 5.832e+04  99.0000 
OBS: 59805.2048 Y WFD  5.0491e-02  3.890e-02    0  1.000 44.630  1.70 4.591e+04  99.0000 
OBS: 59806.2850 z WFD  6.2118e-02  3.109e-02    0  1.000 44.270  1.64 2.730e+04  99.0000 
OBS: 59810.3264 i WFD -1.0843e-02  1.329e-02    0  1.000 44.610  1.67 1.568e+04  99.0000 
OBS: 59813.2092 i WFD -3.1243e-02  1.748e-02    0  1.000 44.570  2.20 1.509e+04  99.0000 
OBS: 59818.2017 u WFD -1.1997e-02  2.183e-02    0  1.000 41.130  1.79 9.708e+02  99.0000 
OBS: 59819.1843 u WFD -6.2718e-03  3.197e-02    0  1.000 41.080  2.52 9.645e+02  99.0000 
OBS: 59830.1931 Y WFD -1.4226e-01  8.580e-02    0  1.000 42.560  1.71 1.496e+04  99.0000 
OBS: 59831.1362 Y WFD -7.7794e-02  8.400e-02    0  1.000 43.260  1.91 2.498e+04  99.0000 
OBS: 59832.1757 Y WFD  1.0546e-01  1.032e-01    0  1.000 42.570  1.73 1.795e+04  99.0000 
OBS: 59837.2541 i WFD -3.7920e-03  1.335e-02    0  1.000 44.630  1.34 2.000e+04  99.0000 
OBS: 59839.2008 g WFD  2.4663e-03  6.668e-03    0  1.000 44.060  1.70 4.655e+03  99.0000 
OBS: 59840.1246 g WFD -1.3020e-02  6.167e-03    0  1.000 44.730  2.03 6.682e+03  99.0000 
OBS: 59844.1139 r WFD  7.1352e-03  9.684e-03    0  1.000 44.780  2.02 1.104e+04  99.0000 
OBS: 59851.1532 u WFD  5.8823e-03  2.615e-02    0  1.000 41.240  2.32 9.930e+02  99.0000 
OBS: 59862.2635 z WFD  1.8519e-02  1.981e-02    0  1.000 45.040  1.24 4.676e+04  99.0000 
OBS: 59866.0725 i WFD  5.2915e-03  1.793e-02    0  1.000 44.570  2.28 1.493e+04  99.0000 
OBS: 59869.1188 r WFD -1.0488e-02  6.996e-03    0  1.000 44.830  1.62 1.042e+04  99.0000 
OBS: 59875.0410 u WFD -2.5359e-02  1.313e-02    0  1.000 41.950  1.57 1.417e+03  99.0000 
OBS: 59876.0022 z WFD  5.5636e-02  6.009e-02    0  1.000 43.470  2.30 1.801e+04  99.0000 
OBS: 59886.0145 z WFD  1.3219e-02  2.886e-02    0  1.000 44.250  1.50 2.720e+04  99.0000 
OBS: 59899.1365 i WFD -5.0259e-02  3.054e-02    0  1.000 43.840  3.03 9.768e+03  99.0000 
OBS: 59906.1133 u WFD  2.0807e-02  2.089e-02    0  1.000 41.320  1.97 1.006e+03  99.0000 
