SURVEY:   LSST
SNID:     1274358
IAUC:     NULL
SNTYPE:   110
RA:       20.986728  # deg
DEC:      -40.741977  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0145 +- 0.0007  # MW E(B-V) 
PEAKMJD:  60407.453     # estimate for LC fit codes
MJD_TRIGGER:       60463.406  
MJD_DETECT_FIRST:  60458.434  
MJD_DETECT_LAST:   60668.055  

REDSHIFT_HELIO:   0.581050 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.579975 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8063143851  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5811  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          20.986935    # deg 
HOSTGAL_DEC:         -40.742073    # deg 
HOSTGAL_SNSEP:       0.345       # arcsec 
HOSTGAL_DDLR:        1.520       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.725 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.204
HOSTGAL_SQRADIUS:     10.889   # Ixx + Iyy
HOSTGAL_MAG:     25.38  24.90  24.14  23.67  23.52  23.37 # ugrizY
HOSTGAL_MAGERR:   0.17   0.03   0.01   0.01   0.02   0.04 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           19358    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.58105  
SIM_REDSHIFT_CMB:    0.57997  
SIM_REDSHIFT_HOST:   0.57066  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8063143851 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.211 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.725 -9.000 
SIM_DLMU:            42.6511   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0028   # mag 
SIM_RA:              20.986727     # deg  
SIM_DEC:             -40.741978      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0157   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60407.453    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.0034e-05 
SIM_SALT2x1:         1.1042 
SIM_SALT2c:          -0.0001 
SIM_SALT2mB:         23.1313 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1572  # spectro-search efficiency 
SIM_TRESTMIN:        -395.69  # days 
SIM_TRESTMAX:        166.86  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.33  24.35  22.96  22.86  22.88  22.97  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 139 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59782.2799 Y WFD -6.6624e-02  1.016e-01    0  1.000 42.510  2.11 1.371e+04  99.0000 
OBS: 59782.3550 g WFD -1.2860e-03  1.047e-02    0  1.000 44.880  3.07 8.614e+03  99.0000 
OBS: 59783.4125 r WFD  2.8938e-03  8.181e-03    0  1.000 44.860  1.89 1.073e+04  99.0000 
OBS: 59786.4304 z WFD -7.1825e-03  5.535e-02    0  1.000 43.510  2.90 1.365e+04  99.0000 
OBS: 59791.4400 z WFD -8.6650e-02  5.998e-02    0  1.000 43.540  1.87 2.358e+04  99.0000 
OBS: 59793.3090 i WFD -4.8928e-03  1.412e-02    0  1.000 45.330  2.68 2.013e+04  99.0000 
OBS: 59796.2615 r WFD  1.2713e-02  1.243e-02    0  1.000 44.800  2.73 1.068e+04  99.0000 
OBS: 59799.2891 z WFD  2.2431e-02  1.856e-02    0  1.000 45.010  1.72 3.072e+04  99.0000 
OBS: 59800.3730 Y WFD -1.3667e-02  4.804e-02    0  1.000 43.340  1.61 1.825e+04  99.0000 
OBS: 59802.3250 Y WFD  1.0732e-02  5.644e-02    0  1.000 43.780  1.96 2.641e+04  99.0000 
OBS: 59803.2957 Y WFD  9.8536e-03  3.785e-02    0  1.000 44.340  1.59 3.657e+04  99.0000 
OBS: 59804.3962 z WFD  5.5390e-03  2.470e-02    0  1.000 44.730  1.40 3.881e+04  99.0000 
OBS: 59805.2015 Y WFD -2.3341e-02  5.016e-02    0  1.000 44.030  1.67 3.468e+04  99.0000 
OBS: 59806.2850 z WFD  6.5512e-02  3.109e-02    0  1.000 44.270  1.64 2.730e+04  99.0000 
OBS: 59810.3264 i WFD -4.9567e-03  1.329e-02    0  1.000 44.610  1.67 1.568e+04  99.0000 
OBS: 59813.2075 i WFD  1.3543e-02  1.790e-02    0  1.000 44.570  2.28 1.491e+04  99.0000 
OBS: 59818.2195 u WFD -9.4134e-03  1.567e-02    0  1.000 41.950  1.90 1.398e+03  99.0000 
OBS: 59819.1843 u WFD -2.8916e-03  3.197e-02    0  1.000 41.080  2.52 9.645e+02  99.0000 
OBS: 59822.2333 i WFD -8.4699e-03  1.413e-02    0  1.000 44.580  1.90 1.425e+04  99.0000 
OBS: 59823.2637 g WFD -6.0110e-05  7.030e-03    0  1.000 44.820  2.59 6.486e+03  99.0000 
OBS: 59830.1931 Y WFD  1.5568e-02  8.580e-02    0  1.000 42.560  1.71 1.496e+04  99.0000 
OBS: 59831.1335 Y WFD  1.4421e-02  6.974e-02    0  1.000 43.700  1.94 3.063e+04  99.0000 
OBS: 59832.1757 Y WFD  8.1330e-02  1.032e-01    0  1.000 42.570  1.73 1.795e+04  99.0000 
OBS: 59837.2541 i WFD -2.2334e-03  1.335e-02    0  1.000 44.630  1.34 2.000e+04  99.0000 
OBS: 59839.2008 g WFD  5.3816e-03  6.669e-03    0  1.000 44.060  1.70 4.655e+03  99.0000 
OBS: 59840.1246 g WFD -2.9799e-03  6.167e-03    0  1.000 44.730  2.03 6.682e+03  99.0000 
OBS: 59845.1018 r WFD -7.9243e-03  8.765e-03    0  1.000 44.770  1.81 1.105e+04  99.0000 
OBS: 59851.1532 u WFD -3.0729e-02  2.615e-02    0  1.000 41.240  2.32 9.930e+02  99.0000 
OBS: 59853.2176 r WFD  2.2511e-02  8.250e-03    0  1.000 44.850  1.96 1.034e+04  99.0000 
OBS: 59862.2630 z WFD  3.7865e-02  1.975e-02    0  1.000 45.040  1.25 4.625e+04  99.0000 
OBS: 59866.0713 i WFD  1.6043e-02  1.275e-02    0  1.000 45.320  2.28 2.118e+04  99.0000 
OBS: 59869.1175 r WFD  7.4247e-03  7.018e-03    0  1.000 44.830  1.63 1.038e+04  99.0000 
OBS: 59886.0154 z WFD -1.1108e-02  2.788e-02    0  1.000 44.250  1.49 2.646e+04  99.0000 
OBS: 59899.1297 i WFD -2.1035e-02  3.095e-02    0  1.000 43.840  3.07 9.771e+03  99.0000 
OBS: 59900.0179 Y WFD  6.5037e-03  1.092e-01    0  1.000 42.580  2.09 1.586e+04  99.0000 
OBS: 59901.0312 Y WFD  8.9277e-02  1.228e-01    0  1.000 42.570  2.88 1.283e+04  99.0000 
OBS: 59914.1495 r WFD -1.6864e-02  1.233e-02    0  1.000 44.910  1.75 1.830e+04  99.0000 
