SURVEY:   LSST
SNID:     1061111
IAUC:     NULL
SNTYPE:   136
RA:       146.552430  # deg
DEC:      -14.617670  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0532 +- 0.0027  # MW E(B-V) 
PEAKMJD:  59957.879     # estimate for LC fit codes
MJD_TRIGGER:       59976.109  
MJD_DETECT_FIRST:  59964.172  
MJD_DETECT_LAST:   60659.262  

REDSHIFT_HELIO:   0.624219 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.626075 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  725   # template index for SIMSED,NONIa
SIM_LIBID:           10112    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.66230  
SIM_REDSHIFT_CMB:    0.66419  
SIM_REDSHIFT_HOST:   0.62422  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8875769874 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.215 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.642 -9.000 
SIM_DLMU:            43.0051   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0193   # mag 
SIM_RA:              146.552429     # deg  
SIM_DEC:             -14.617670      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0500   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59957.879    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0213  # spectro-search efficiency 
SIM_TRESTMIN:        -225.37  # days 
SIM_TRESTMAX:        430.34  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.70  22.86  23.23  23.59  23.84  23.99  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2476 u WFD -1.1275e-02  1.961e-02    0  1.000 41.300  1.75 1.044e+03  99.0000 
OBS: 59587.1749 Y WFD -2.7819e-02  7.589e-02    0  1.000 42.510  1.55 1.394e+04  99.0000 
OBS: 59588.1678 Y WFD  1.4133e-01  1.121e-01    0  1.000 42.490  2.19 1.431e+04  99.0000 
OBS: 59594.1850 Y WFD -1.0368e-01  8.797e-02    0  1.000 42.540  1.74 1.480e+04  99.0000 
OBS: 59597.1799 Y WFD  6.6726e-02  1.116e-01    0  1.000 43.310  2.64 2.514e+04  99.0000 
OBS: 59603.2734 i WFD -1.4783e-02  2.703e-02    0  1.000 44.620  2.72 1.976e+04  99.0000 
OBS: 59613.3701 z WFD  9.0482e-03  4.666e-02    0  1.000 43.460  2.03 1.570e+04  99.0000 
OBS: 59623.2861 z WFD -1.3337e-02  3.707e-02    0  1.000 44.260  2.26 2.340e+04  99.0000 
OBS: 59625.0728 Y WFD  1.2607e-01  9.982e-02    0  1.000 42.510  1.55 1.833e+04  99.0000 
OBS: 59628.2354 z WFD -3.2369e-03  3.609e-02    0  1.000 45.040  2.13 4.959e+04  99.0000 
OBS: 59653.1053 Y WFD  1.6533e-02  6.400e-02    0  1.000 43.340  1.82 2.150e+04  99.0000 
OBS: 59655.0996 Y WFD -1.3853e-01  7.910e-02    0  1.000 43.350  1.97 2.478e+04  99.0000 
OBS: 59658.1136 z WFD  4.7756e-03  2.919e-02    0  1.000 44.280  1.54 2.755e+04  99.0000 
OBS: 59682.0695 Y WFD -3.8313e-02  5.659e-02    0  1.000 42.610  1.17 1.510e+04  99.0000 
OBS: 59684.1366 Y WFD -8.9059e-02  8.128e-02    0  1.000 42.570  1.43 1.710e+04  99.0000 
OBS: 59686.0824 Y WFD -1.0676e-01  6.930e-02    0  1.000 42.580  1.36 1.547e+04  99.0000 
OBS: 59711.9727 Y WFD -1.9045e-03  8.187e-02    0  1.000 42.600  1.75 1.447e+04  99.0000 
OBS: 59713.0020 Y WFD -1.0996e-02  8.245e-02    0  1.000 42.580  1.71 1.464e+04  99.0000 
OBS: 59714.0877 Y WFD  1.9295e-02  1.220e-01    0  1.000 42.520  2.15 1.631e+04  99.0000 
OBS: 59724.9601 z WFD  2.9383e-02  2.997e-02    0  1.000 43.500  1.47 1.445e+04  99.0000 
OBS: 59887.3629 z WFD  1.6269e-02  5.101e-02    0  1.000 43.500  1.75 2.066e+04  99.0000 
OBS: 59897.3536 z WFD -1.0219e-01  4.469e-02    0  1.000 43.500  1.63 1.943e+04  99.0000 
OBS: 59899.3462 z WFD  4.9251e-02  5.540e-02    0  1.000 43.490  2.31 1.684e+04  99.0000 
OBS: 59902.3514 z WFD  7.6298e-04  4.636e-02    0  1.000 44.700  2.80 3.543e+04  99.0000 
OBS: 59905.3188 u WFD -4.5083e-02  3.628e-02    0  1.000 41.090  2.84 9.803e+02  99.0000 
OBS: 59907.3070 r WFD  4.4489e-03  8.109e-03    0  1.000 44.790  1.65 1.143e+04  99.0000 
