SURVEY:   LSST
SNID:     1255975
IAUC:     NULL
SNTYPE:   110
RA:       331.550473  # deg
DEC:      -7.958914  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0285 +- 0.0014  # MW E(B-V) 
PEAKMJD:  60386.328     # estimate for LC fit codes
MJD_TRIGGER:       60421.426  
MJD_DETECT_FIRST:  60420.414  
MJD_DETECT_LAST:   60593.000  

REDSHIFT_HELIO:   1.431634 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.428858 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7817237627  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4316  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          331.550461    # deg 
HOSTGAL_DEC:         -7.958727    # deg 
HOSTGAL_SNSEP:       0.337       # arcsec 
HOSTGAL_DDLR:        3.897       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.833 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.107
HOSTGAL_SQRADIUS:     5.388   # Ixx + Iyy
HOSTGAL_MAG:     26.27  26.25  26.29  26.26  26.03  25.64 # ugrizY
HOSTGAL_MAGERR:   0.28   0.08   0.10   0.14   0.18   0.36 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           975    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.43163  
SIM_REDSHIFT_CMB:    1.42886  
SIM_REDSHIFT_HOST:   1.40574  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7817237627 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.414 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.833 -9.000 
SIM_DLMU:            45.0612   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0271   # mag 
SIM_RA:              331.550476     # deg  
SIM_DEC:             -7.958914      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0289   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60386.328    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         9.4454e-07 
SIM_SALT2x1:         0.1172 
SIM_SALT2c:          0.0055 
SIM_SALT2mB:         25.6970 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -261.05  # days 
SIM_TRESTMAX:        100.34  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   36.52  31.62  28.76  26.44  25.53  24.93  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 132 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59752.2669 i WFD  5.5618e-03  2.581e-02    0  1.000 44.570  2.94 1.667e+04  99.0000 
OBS: 59769.2207 z WFD  8.8509e-03  2.867e-02    0  1.000 44.240  1.76 2.282e+04  99.0000 
OBS: 59770.2931 Y WFD -3.1811e-02  6.871e-02    0  1.000 42.570  1.55 1.334e+04  99.0000 
OBS: 59772.2959 Y WFD  7.9387e-03  5.609e-02    0  1.000 44.080  2.22 3.054e+04  99.0000 
OBS: 59773.4006 Y WFD  1.5554e-01  7.442e-02    0  1.000 43.290  1.77 2.455e+04  99.0000 
OBS: 59774.3483 z WFD -1.5999e-02  2.583e-02    0  1.000 45.790  1.96 7.695e+04  99.0000 
OBS: 59783.1848 r WFD -5.9803e-03  1.371e-02    0  1.000 44.810  2.76 1.176e+04  99.0000 
OBS: 59784.3846 r WFD  8.7402e-03  1.105e-02    0  1.000 44.800  2.17 1.195e+04  99.0000 
OBS: 59788.2801 g WFD  7.9932e-03  1.106e-02    0  1.000 44.090  2.56 5.268e+03  99.0000 
OBS: 59789.3096 u WFD  1.7613e-02  3.603e-02    0  1.000 41.250  3.08 1.040e+03  99.0000 
OBS: 59796.1228 Y WFD  4.8626e-02  1.063e-01    0  1.000 43.240  2.95 2.010e+04  99.0000 
OBS: 59798.1382 Y WFD  1.0146e-01  8.397e-02    0  1.000 42.510  1.67 1.432e+04  99.0000 
OBS: 59807.2567 Y WFD  7.9409e-02  7.744e-02    0  1.000 42.580  1.63 1.443e+04  99.0000 
OBS: 59808.1889 r WFD -3.0953e-03  1.664e-02    0  1.000 44.160  1.52 1.425e+04  99.0000 
OBS: 59808.3293 i WFD  1.6290e-02  2.804e-02    0  1.000 43.830  1.70 1.584e+04  99.0000 
OBS: 59809.1511 g WFD -4.7731e-03  4.353e-03    0  1.000 44.820  1.37 7.593e+03  99.0000 
OBS: 59809.2200 r WFD -4.2103e-03  9.280e-03    0  1.000 44.890  1.51 1.567e+04  99.0000 
OBS: 59813.2927 i WFD  8.9376e-03  1.255e-02    0  1.000 45.320  2.12 2.242e+04  99.0000 
OBS: 59817.1156 r WFD -7.7492e-03  7.623e-03    0  1.000 44.820  1.54 1.183e+04  99.0000 
OBS: 59818.1112 u WFD  7.2226e-03  2.241e-02    0  1.000 41.250  1.86 1.072e+03  99.0000 
OBS: 59819.0963 u WFD -3.8443e-02  2.407e-02    0  1.000 41.160  1.90 1.037e+03  99.0000 
OBS: 59822.2116 i WFD  1.5824e-03  1.477e-02    0  1.000 44.590  1.89 1.511e+04  99.0000 
OBS: 59825.0566 z WFD  1.7205e-02  3.672e-02    0  1.000 44.240  2.36 2.180e+04  99.0000 
OBS: 59827.0663 z WFD -1.5524e-02  2.386e-02    0  1.000 44.990  2.01 3.318e+04  99.0000 
OBS: 59836.0756 r WFD  6.7975e-03  8.427e-03    0  1.000 44.840  1.77 1.159e+04  99.0000 
OBS: 59836.2543 Y WFD  7.2895e-03  9.550e-02    0  1.000 42.520  1.81 1.516e+04  99.0000 
OBS: 59837.0777 r WFD  2.4186e-03  7.255e-03    0  1.000 44.840  1.53 1.154e+04  99.0000 
OBS: 59839.1476 g WFD -2.0232e-03  5.348e-03    0  1.000 44.850  1.75 7.507e+03  99.0000 
OBS: 59843.9911 z WFD -9.7381e-03  4.362e-02    0  1.000 43.470  1.87 1.608e+04  99.0000 
OBS: 59848.9954 z WFD -1.3677e-02  6.471e-02    0  1.000 43.490  2.97 1.530e+04  99.0000 
OBS: 59849.0197 r WFD -9.8707e-03  1.508e-02    0  1.000 44.810  3.10 1.152e+04  99.0000 
OBS: 59853.9846 Y WFD  3.2525e-02  1.545e-01    0  1.000 42.540  1.79 2.526e+04  99.0000 
OBS: 59856.0020 Y WFD  1.3823e-02  4.327e-02    0  1.000 44.060  1.79 2.869e+04  99.0000 
OBS: 59861.0278 Y WFD  6.0166e-02  4.264e-02    0  1.000 44.100  1.47 3.571e+04  99.0000 
OBS: 59863.0875 z WFD -8.6823e-03  2.652e-02    0  1.000 44.270  1.35 2.829e+04  99.0000 
OBS: 59876.0729 u WFD -4.9240e-02  3.730e-02    0  1.000 41.250  3.16 1.050e+03  99.0000 
OBS: 59900.0543 i WFD  1.7853e-03  2.566e-02    0  1.000 44.570  3.08 1.582e+04  99.0000 
