SURVEY:   LSST
SNID:     1159048
IAUC:     NULL
SNTYPE:   21
RA:       2.269783  # deg
DEC:      -24.560306  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0176 +- 0.0009  # MW E(B-V) 
PEAKMJD:  60063.055     # estimate for LC fit codes
MJD_TRIGGER:       60118.352  
MJD_DETECT_FIRST:  60095.410  
MJD_DETECT_LAST:   60603.254  

REDSHIFT_HELIO:   0.302859 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.301533 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6125153032  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.3029  +- 0.0100 
HOSTGAL_SPECZ:       0.3029  +- 0.0000 
HOSTGAL_RA:          2.268928    # deg 
HOSTGAL_DEC:         -24.559166    # deg 
HOSTGAL_SNSEP:       2.408       # arcsec 
HOSTGAL_DDLR:        2.749       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.429 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.037
HOSTGAL_SQRADIUS:     17.996   # Ixx + Iyy
HOSTGAL_MAG:     23.51  21.47  19.98  19.35  19.03  18.82 # ugrizY
HOSTGAL_MAGERR:   0.05   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      21  # true GENTYPE 
SIM_TYPE_NAME:       Ib 
SIM_TEMPLATE_INDEX:  713   # template index for SIMSED,NONIa
SIM_LIBID:           6047    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.30286  
SIM_REDSHIFT_CMB:    0.30153  
SIM_REDSHIFT_HOST:   0.31973  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6125153032 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.123 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.429 -9.000 
SIM_DLMU:            40.9704   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0012   # mag 
SIM_RA:              2.269783     # deg  
SIM_DEC:             -24.560307      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0176   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60063.055    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1123  # spectro-search efficiency 
SIM_TRESTMIN:        -224.91  # days 
SIM_TRESTMAX:        468.67  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.61  23.65  23.08  22.99  22.87  22.88  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 139 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59770.3233 Y WFD -1.2510e-01  7.173e-02    0  1.000 42.570  1.63 1.324e+04  99.0000 
OBS: 59771.2804 z WFD -1.5268e-02  3.340e-02    0  1.000 44.250  1.94 2.434e+04  99.0000 
OBS: 59772.3085 Y WFD  1.5281e-01  8.536e-02    0  1.000 42.580  1.78 1.456e+04  99.0000 
OBS: 59782.4064 g WFD -1.4513e-02  1.289e-02    0  1.000 44.180  2.67 6.400e+03  99.0000 
OBS: 59783.3693 r WFD -1.1551e-02  8.334e-03    0  1.000 44.860  1.88 1.099e+04  99.0000 
OBS: 59788.4073 i WFD  1.0876e-02  1.619e-02    0  1.000 44.590  2.20 1.423e+04  99.0000 
OBS: 59796.2045 z WFD -2.6345e-02  5.882e-02    0  1.000 43.480  2.80 1.461e+04  99.0000 
OBS: 59796.3180 r WFD  6.1269e-03  1.183e-02    0  1.000 44.850  2.75 1.057e+04  99.0000 
OBS: 59797.2130 z WFD -2.3599e-02  4.382e-02    0  1.000 44.240  2.86 2.146e+04  99.0000 
OBS: 59803.1861 Y WFD  2.5598e-02  4.007e-02    0  1.000 44.800  1.68 5.596e+04  99.0000 
OBS: 59808.4004 i WFD  1.7918e-02  1.758e-02    0  1.000 44.620  1.55 2.255e+04  99.0000 
OBS: 59809.3651 r WFD -1.0352e-02  1.180e-02    0  1.000 44.910  1.67 1.835e+04  99.0000 
OBS: 59810.2100 g WFD -1.4083e-02  8.603e-03    0  1.000 44.080  2.10 4.952e+03  99.0000 
OBS: 59814.1855 r WFD -1.3842e-02  7.663e-03    0  1.000 44.820  1.65 1.110e+04  99.0000 
OBS: 59818.1730 u WFD  1.1313e-02  2.340e-02    0  1.000 41.210  1.97 1.018e+03  99.0000 
OBS: 59819.1960 u WFD -1.0275e-02  2.378e-02    0  1.000 41.270  2.09 1.031e+03  99.0000 
OBS: 59820.1394 i WFD -1.0380e-02  1.310e-02    0  1.000 44.560  1.58 1.559e+04  99.0000 
OBS: 59823.1362 g WFD -1.0722e-03  6.145e-03    0  1.000 45.510  2.75 1.008e+04  99.0000 
OBS: 59824.1190 i WFD -8.4166e-03  1.767e-02    0  1.000 44.560  2.07 1.606e+04  99.0000 
OBS: 59825.1402 z WFD  3.0730e-02  3.120e-02    0  1.000 44.240  2.12 2.061e+04  99.0000 
OBS: 59835.1582 Y WFD  7.4851e-02  5.151e-02    0  1.000 43.340  1.46 2.157e+04  99.0000 
OBS: 59837.1430 r WFD  1.5254e-02  1.121e-02    0  1.000 44.900  1.75 1.648e+04  99.0000 
OBS: 59846.1416 i WFD  7.4940e-03  1.562e-02    0  1.000 44.590  2.09 1.445e+04  99.0000 
OBS: 59850.0563 i WFD  2.5334e-03  1.872e-02    0  1.000 44.560  2.28 1.545e+04  99.0000 
OBS: 59855.0664 z WFD -1.3268e-02  1.707e-02    0  1.000 45.010  1.62 3.000e+04  99.0000 
OBS: 59863.1889 z WFD  3.3823e-02  3.201e-02    0  1.000 44.290  1.52 3.089e+04  99.0000 
OBS: 59866.9900 Y WFD  4.0219e-01  2.483e-01    0  1.000 42.520  2.48 2.877e+04  99.0000 
OBS: 59868.0056 Y WFD -3.6466e-02  6.134e-02    0  1.000 43.270  1.75 2.010e+04  99.0000 
OBS: 59872.0094 Y WFD  9.5680e-02  7.359e-02    0  1.000 42.530  1.56 1.368e+04  99.0000 
OBS: 59875.1660 u WFD  6.3102e-03  1.531e-02    0  1.000 42.060  1.97 1.458e+03  99.0000 
OBS: 59878.0111 z WFD  1.3887e-02  3.050e-02    0  1.000 43.490  1.50 1.427e+04  99.0000 
OBS: 59880.0593 r WFD  2.3899e-03  5.180e-03    0  1.000 44.860  1.19 1.079e+04  99.0000 
OBS: 59885.0074 Y WFD -6.0730e-03  7.581e-02    0  1.000 42.590  1.40 1.660e+04  99.0000 
OBS: 59905.1504 u WFD -3.2679e-03  2.078e-02    0  1.000 41.900  2.39 1.407e+03  99.0000 
OBS: 59919.0857 z WFD  1.0524e-02  3.508e-02    0  1.000 44.270  1.81 2.791e+04  99.0000 
OBS: 59923.0793 i WFD -2.0135e-03  1.506e-02    0  1.000 45.060  1.60 2.805e+04  99.0000 
OBS: 59926.1061 r WFD -4.9367e-03  5.862e-03    0  1.000 45.550  1.67 1.643e+04  99.0000 
OBS: 59931.0928 g WFD -7.1297e-04  3.469e-03    0  1.000 45.510  1.54 1.016e+04  99.0000 
OBS: 59934.0484 z WFD -2.5858e-02  2.002e-02    0  1.000 44.260  1.29 2.214e+04  99.0000 
OBS: 59937.0451 z WFD -1.3679e-02  2.758e-02    0  1.000 44.250  1.74 2.241e+04  99.0000 
OBS: 60095.4114 i WFD  2.4701e+01  2.003e-02 4096  1.000 43.820  1.76 1.073e+04  24.0172 
OBS: 60118.3501 u WFD  3.4265e-01  2.816e-02 6144  1.000 41.190  2.34 1.012e+03  28.6700 
OBS: 60118.4347 z WFD  2.0201e+01  2.598e-02 4096  1.000 43.510  1.32 1.399e+04  24.2352 
OBS: 60119.3681 r WFD  6.8313e+00  1.178e-02 4096  1.000 44.840  2.57 1.112e+04  25.4190 
OBS: 60120.4086 g WFD  1.8693e+00  8.159e-03 4096  1.000 44.120  2.03 5.025e+03  26.8095 
OBS: 60122.3191 r WFD  6.6642e+00  4.998e-03 4096  1.000 46.310  2.08 2.256e+04  25.4421 
OBS: 60123.3737 i WFD  1.3948e+01  8.651e-03 4096  1.000 45.340  1.62 2.046e+04  24.6387 
OBS: 60124.3050 Y WFD  2.2969e+01  8.420e-02 4096  1.000 42.510  1.70 1.408e+04  24.0970 
OBS: 60127.3007 Y WFD  2.2048e+01  4.571e-02 4096  1.000 44.050  1.76 3.050e+04  24.1415 
OBS: 60128.2715 Y WFD  2.2011e+01  1.136e-01 4096  1.000 42.500  1.93 1.660e+04  24.1539 
OBS: 60138.3097 i WFD  1.1472e+01  1.449e-02 4096  1.000 44.580  1.88 1.471e+04  24.8496 
OBS: 60140.2601 u WFD  3.1972e-01  2.551e-02 4096  1.000 41.130  2.05 9.898e+02  28.7338 
OBS: 60142.2922 i WFD  1.1032e+01  1.450e-02 4096  1.000 44.580  1.89 1.464e+04  24.8924 
OBS: 60144.3141 g WFD  1.5826e+00  3.840e-03 4096  1.000 45.590  1.91 9.733e+03  27.0042 
OBS: 60145.2471 u WFD  2.8142e-01  2.908e-02 4096  1.000 41.110  2.31 9.835e+02  28.7560 
OBS: 60151.2579 r WFD  5.2714e+00  5.918e-03 4096  1.000 45.570  1.81 1.552e+04  25.6968 
OBS: 60153.2111 Y WFD  1.6563e+01  1.011e-01 4096  1.000 42.490  1.94 1.455e+04  24.4445 
OBS: 60162.1968 Y WFD  1.5012e+01  1.485e-01 4096  1.000 42.520  2.73 1.562e+04  24.5584 
