SURVEY:   LSST
SNID:     1067820
IAUC:     NULL
SNTYPE:   136
RA:       147.228461  # deg
DEC:      2.934711  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0353 +- 0.0018  # MW E(B-V) 
PEAKMJD:  59621.820     # estimate for LC fit codes
MJD_TRIGGER:       59603.277  
MJD_DETECT_FIRST:  59594.195  
MJD_DETECT_LAST:   59718.039  

REDSHIFT_HELIO:   1.391818 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.394539 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6005158867  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3918  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          147.228547    # deg 
HOSTGAL_DEC:         2.934787    # deg 
HOSTGAL_SNSEP:       0.188       # arcsec 
HOSTGAL_DDLR:        1.172       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.655 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.513
HOSTGAL_SQRADIUS:     3.354   # Ixx + Iyy
HOSTGAL_MAG:     28.65  27.88  27.16  25.92  25.29  24.57 # ugrizY
HOSTGAL_MAGERR:  26.62   0.20   0.21   0.11   0.13   0.15 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      NON1ASED  
SIM_MODEL_INDEX:     10  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      36  # true GENTYPE 
SIM_TYPE_NAME:       IIn 
SIM_TEMPLATE_INDEX:  719   # template index for SIMSED,NONIa
SIM_LIBID:           16821    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.39182  
SIM_REDSHIFT_CMB:    1.39454  
SIM_REDSHIFT_HOST:   1.43479  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6005158867 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.189 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.655 -9.000 
SIM_DLMU:            44.9911   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0493   # mag 
SIM_RA:              147.228455     # deg  
SIM_DEC:             2.934711      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0340   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59621.820    #  true PEAKMJD, days 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -11.55  # days 
SIM_TRESTMAX:        434.18  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.66  26.93  26.37  26.13  26.03  25.96  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59594.1953 Y WFD  3.7024e+00  1.081e-01 4096  1.000 42.520  1.98 1.569e+04  26.0835 
OBS: 59603.2754 i WFD  3.4963e+00  3.147e-02 6144  1.000 44.600  2.94 2.088e+04  26.1370 
OBS: 59623.1436 z WFD  3.8572e+00  4.539e-02 4096  1.000 44.250  2.25 2.852e+04  26.0349 
OBS: 59657.0482 z WFD  3.2665e+00  4.848e-02 4096  1.000 44.260  1.91 3.621e+04  26.2117 
OBS: 59658.1508 z WFD  3.3079e+00  4.953e-02 4096  1.000 44.260  2.38 2.969e+04  26.2188 
OBS: 59660.1281 Y WFD  3.6038e+00  6.161e-02 4096  1.000 43.310  1.84 1.991e+04  26.1049 
OBS: 59684.0502 Y WFD  2.9968e+00  4.807e-02 4096  1.000 43.760  1.44 3.004e+04  26.3056 
OBS: 59686.0620 Y WFD  3.0262e+00  7.243e-02 4096  1.000 42.560  1.34 1.611e+04  26.3265 
OBS: 59704.9672 z WFD  1.9217e+00  3.086e-02 4096  1.000 43.500  1.42 1.539e+04  26.8003 
OBS: 59711.9729 Y WFD  2.1712e+00  6.829e-02 4096  1.000 43.310  1.87 2.172e+04  26.6391 
OBS: 59712.9984 Y WFD  2.1225e+00  1.058e-01 4096  1.000 42.560  2.04 1.545e+04  26.6525 
OBS: 59718.0380 i WFD  1.0359e+00  2.157e-02 4096  1.000 45.020  2.25 2.754e+04  27.3940 
OBS: 59904.3463 z WFD  4.4572e-02  5.596e-02    0  1.000 44.230  2.79 2.784e+04  31.2536 
OBS: 59907.3292 r WFD  1.7336e-02  1.534e-02    0  1.000 44.020  2.01 8.728e+03  32.4973 
OBS: 59908.3492 z WFD -3.0936e-02  4.758e-02    0  1.000 44.250  2.29 2.937e+04  31.3149 
OBS: 59909.3551 z WFD  5.2468e-02  6.858e-02    0  1.000 43.510  2.08 2.358e+04  31.3303 
OBS: 59912.3366 z WFD  4.8833e-02  2.857e-02    0  1.000 44.230  1.85 2.144e+04  31.3760 
OBS: 59917.3389 z WFD -6.1387e-03  2.697e-02    0  1.000 44.240  1.70 2.222e+04  31.4526 
OBS: 59918.3106 Y WFD  2.0775e-01  8.845e-02    0  1.000 42.520  1.74 1.461e+04  30.5477 
OBS: 59920.3209 Y WFD  1.5673e-02  4.688e-02    0  1.000 44.040  1.77 3.086e+04  30.5805 
OBS: 59923.3138 z WFD  1.5161e-03  3.440e-02    0  1.000 44.250  1.53 3.179e+04  31.5441 
OBS: 59924.2912 Y WFD  2.0722e-03  1.036e-01    0  1.000 42.520  1.75 1.701e+04  30.6454 
OBS: 59930.3150 r WFD -2.1177e-02  1.567e-02    0  1.000 44.090  1.74 1.099e+04  32.9173 
OBS: 59934.3219 g WFD  4.7650e-03  4.804e-03    0  1.000 44.820  1.53 7.504e+03  33.4801 
OBS: 59937.2614 r WFD  1.2099e-04  1.035e-02    0  1.000 44.770  2.01 1.175e+04  33.0443 
OBS: 59939.2529 i WFD  9.8347e-04  1.807e-02    0  1.000 44.550  2.10 1.604e+04  32.5511 
OBS: 59941.2473 i WFD -6.9207e-03  1.548e-02    0  1.000 44.550  1.80 1.602e+04  32.5836 
OBS: 59942.2480 r WFD -1.1077e-04  7.807e-03    0  1.000 44.790  1.54 1.179e+04  33.1354 
OBS: 59943.2634 r WFD -1.1106e-02  1.109e-02    0  1.000 44.790  2.22 1.161e+04  33.1539 
OBS: 59944.2781 i WFD  1.4408e-02  1.051e-02    0  1.000 45.320  1.83 2.175e+04  32.6331 
OBS: 59945.2522 i WFD -2.6186e-03  1.507e-02    0  1.000 44.560  1.80 1.575e+04  32.6490 
OBS: 59962.1839 g WFD -1.1798e-02  8.551e-03    0  1.000 43.950  1.80 5.094e+03  34.0130 
OBS: 59968.1986 u WFD -3.9049e-02  3.008e-02    0  1.000 41.120  2.36 1.006e+03  34.7657 
OBS: 59972.2131 r WFD -6.6150e-03  1.140e-02    0  1.000 44.810  2.34 1.153e+04  33.6830 
